"","idmen","year","datent","myear","mstatus","move","location"
"1","3405464102990100",2019,1986,NA,"Single",NA,"Paris"
"2","3105464011670100",2019,1998,NA,"Couple, with Kids",1,"Paris"
"3","3305464013160100",2019,2008,NA,"Couple, with Kids",1,"Paris"
"4","3005464067860100",2019,2002,NA,"Single",1,"Paris"
"5","3405464067860100",2019,1978,NA,"Couple, No kids",NA,"Paris"
"6","3205464032540100",2019,1981,NA,"Single",1,"Paris"
"7","3405464032540100",2019,2015,NA,"Couple, No kids",NA,"Paris"
"8","2605464108800100",2019,2019,NA,"Couple, with Kids",2,"Urban 200000 to 1999999"
"9","3005464108800100",2019,2003,NA,"Couple, with Kids",1,"Paris"
"10","3205464108800100",2019,1991,NA,"Couple, No kids",1,"Paris"
"11","3405464108800100",2019,2007,NA,"Single",NA,"Paris"
"12","2805464017600100",2019,2006,NA,"Single",1,"Paris"
"13","3205464017600100",2019,2017,NA,"Couple, No kids",1,"Paris"
"14","3005464089680100",2019,2019,NA,"Couple, with Kids",2,"Urban 20000 to 49999"
"15","3105464040580100",2019,1942,NA,"Couple, No kids",1,"Paris"
"16","3305464040580100",2019,2014,NA,"Single",1,"Paris"
"17","3105464057410100",2019,1989,NA,"Other",1,"Paris"
"18","3405464057410100",2019,2018,NA,"Single",NA,"Paris"
"19","3405464020540100",2019,2013,NA,"Couple, with Kids",NA,"Paris"
"20","3105464094370100",2019,1997,NA,"Couple, with Kids",1,"Paris"
"21","3305464094370100",2019,2007,NA,"Single",1,"Paris"
"22","3405464043310100",2019,1978,NA,"Couple, No kids",NA,"Paris"
"23","3005464020920100",2019,2002,NA,"Couple, No kids",1,"Paris"
"24","3405464020920100",2019,2016,NA,"Single",NA,"Paris"
"25","3305464016060100",2019,2015,NA,"Single",1,"Paris"
"26","3405464016060100",2019,2001,NA,"Single",NA,"Paris"
"27","3205464020060100",2019,2005,NA,"Couple, with Kids",1,"Paris"
"28","3305464020060100",2019,2019,NA,"Couple, with Kids",2,"Paris"
"29","3005464082030100",2019,1965,NA,"Couple, No kids",1,"Paris"
"30","3305464082030100",2019,2000,NA,"Single",1,"Paris"
"31","3405464082030100",2019,2001,NA,"Couple, with Kids",NA,"Paris"
"32","3205464118450100",2019,2004,NA,"Couple, with Kids",1,"Paris"
"33","3305464118450100",2019,1999,NA,"Couple, No kids",1,"Paris"
"34","3105464017070100",2019,2018,NA,"Couple, with Kids",2,"Paris"
"35","2805464101960100",2019,2000,NA,"Single",1,"Paris"
"36","3205464101960100",2019,2014,NA,"Couple, with Kids",1,"Paris"
"37","3305464101960100",2019,1984,NA,"Couple, No kids",1,"Paris"
"38","3405464101960100",2019,2000,NA,"Single",NA,"Paris"
"39","3105464051020100",2019,2005,NA,"Single Parent",1,"Paris"
"40","3105464051020101",2019,2017,NA,"Single",1,"Paris"
"41","3305464051020100",2019,2019,NA,"Single",2,"Paris"
"42","2805464126670100",2019,2016,NA,"Couple, No kids",1,"Paris"
