"","idind","idmen","year","empstat","respondent","profession","gender","age","wage"
"1","1210268203937010001","2102682039370101",2009,"Employed",1,"63","Male",25,21060
"2","1160546404200010001","1605464042000100",2009,"Retired",1,NA,"Male",79,6730
"3","1160546404200010002","1605464042000100",2009,"Employed",0,"37","Female",42,29640
"4","1160546408750010001","1605464087500100",2009,"Employed",1,"38","Male",37,48030
"5","2160546408750010002","1605464087500100",2009,"Employed",0,"38","Female",32,36890
"6","1160781102642010001","1607811026420100",2009,"Employed",1,"54","Male",45,21740
"7","1160781102642010002","1607811026420100",2009,"Employed",0,"54","Female",40,23180
"8","1160781102642010003","1607811026420100",2009,"Inactive",0,NA,"Female",8,NA
"9","1160781111330010001","1607811113300100",2009,"Retired",1,NA,"Female",76,0
"10","1160781108846010001","1607811088460100",2009,"Employed",1,"54","Female",37,23520
"11","1160781108846010002","1607811088460100",2009,"Inactive",0,NA,"Female",14,NA
"12","1160781108846010003","1607811088460100",2009,"Inactive",0,NA,"Male",11,NA
"13","1160781108411010001","1607811084110100",2009,"Employed",1,"48","Male",35,28880
"14","1160848403254010001","1608484032540100",2009,"Employed",1,"37","Male",36,34370
"15","1160848403254010002","1608484032540100",2009,"Employed",0,"46","Female",31,23670
"16","1160848403254010003","1608484032540100",2009,"Inactive",0,NA,"Male",4,NA
"17","2160848403254010004","1608484032540100",2009,"Inactive",0,NA,"Female",2,NA
"18","1160848401739010001","1608484017390100",2009,"Employed",1,"52","Male",59,20780
"19","1160848411330010001","1608484113300100",2009,"Employed",1,"55","Female",42,18960
"20","1160848411330010002","1608484113300100",2009,"Inactive",0,NA,"Female",15,NA
"21","1160848411330010003","1608484113300100",2009,"Inactive",0,NA,"Male",11,NA
"22","1160848411330010004","1608484113300100",2009,"Inactive",0,NA,"Male",5,NA
"23","1160848411330010005","1608484113300100",2009,"Employed",0,"46","Male",41,56160
"24","1160848411496010001","1608484114960100",2009,"Retired",1,NA,"Male",78,0
"25","1160848411496010002","1608484114960100",2009,"Employed",0,"46","Female",63,30950
"26","1160848405177010001","1608484051770100",2009,"Employed",1,"38","Male",47,79180
"27","1160848405177010002","1608484051770100",2009,"Inactive",0,NA,"Female",47,0
"28","1160848405177010003","1608484051770100",2009,"Inactive",0,NA,"Male",18,0
"29","1160848405177010004","1608484051770100",2009,"Inactive",0,NA,"Female",14,NA
"30","1160848409113010001","1608484091130100",2009,"Employed",1,"46","Male",66,55960
"31","1160848409113010002","1608484091130100",2009,"Retired",0,NA,"Female",67,0
"32","1161006910880010001","1610069108800100",2009,"Unemployed",1,NA,"Male",35,44430
"33","1161006903471010002","1610069034710100",2009,"Employed",0,"34","Female",51,38620
"34","1161006903471010003","1610069034710100",2009,"Inactive",0,NA,"Male",23,0
"35","1161006903471010004","1610069034710100",2009,"Inactive",0,NA,"Male",20,0
"36","1161006910906010003","1610069109060101",2009,"Employed",0,"47","Female",27,13360
"37","1160138601606010001","1601386016060100",2009,"Employed",1,"35","Male",50,45160
"38","1160138601606010002","1601386016060100",2009,"Unemployed",0,NA,"Female",43,580
"39","1160138601606010003","1601386016060100",2009,"Inactive",0,NA,"Male",8,NA
"40","1160138601606010004","1601386016060100",2009,"Inactive",0,NA,"Male",6,NA
"41","1160138603471010001","1601386034710100",2009,"Retired",1,NA,"Male",65,0
"42","1160138602721010001","1601386027210100",2009,"Employed",1,"43","Female",33,34890
