"","idmen","year","datent","myear","mstatus","move","location"
"1","3005464102990100",2017,2000,NA,"Single",1,"Paris"
"2","3105464011670100",2017,1998,NA,"Couple, with Kids",1,"Paris"
"3","3005464067860100",2017,2002,NA,"Single",1,"Paris"
"4","2405464073620100",2017,1982,NA,"Couple, No kids",1,"Paris"
"5","3005464073620100",2017,1994,NA,"Single Parent",1,"Paris"
"6","2405464032540100",2017,2016,NA,"Couple, No kids",2,"Paris"
"7","3205464032540100",2017,1981,NA,"Single",NA,"Paris"
"8","2605464108800100",2017,2014,NA,"Couple, with Kids",1,"Urban 200000 to 1999999"
"9","3005464108800100",2017,2003,NA,"Couple, with Kids",1,"Paris"
"10","3205464108800100",2017,1991,NA,"Couple, No kids",NA,"Paris"
"11","2805464017600100",2017,2006,NA,"Single",1,"Paris"
"12","3105464017600100",2017,2015,NA,"Single",1,"Paris"
"13","3205464017600100",2017,2014,NA,"Couple, No kids",NA,"Paris"
"14","3005464089680100",2017,2016,NA,"Couple, with Kids",1,"Paris"
"15","3205464089680100",2017,2012,NA,"Couple, with Kids",NA,"Paris"
"16","3105464040580100",2017,1984,NA,"Couple, No kids",1,"Paris"
"17","3205464040580100",2017,2011,NA,"Single",NA,"Paris"
"18","3105464057410100",2017,1989,NA,"Single Parent",1,"Paris"
"19","2505464020540100",2017,1993,NA,"Single",1,"Paris"
"20","3105464094370100",2017,1997,NA,"Couple, with Kids",1,"Paris"
"21","3005464020920100",2017,2002,NA,"Couple, No kids",1,"Paris"
"22","3005464016060100",2017,2009,NA,"Single Parent",1,"Paris"
"23","3205464020060100",2017,2005,NA,"Couple, with Kids",NA,"Paris"
"24","3005464082030100",2017,1965,NA,"Couple, No kids",1,"Paris"
"25","3205464118450100",2017,2004,NA,"Couple, with Kids",NA,"Paris"
"26","3105464017070100",2017,2013,NA,"Couple, with Kids",1,"Paris"
"27","2805464101960100",2017,2000,NA,"Single",1,"Paris"
"28","3005464101960100",2017,2004,NA,"Couple, with Kids",1,"Paris"
"29","3105464101960100",2017,1994,NA,"Single",1,"Paris"
"30","3205464101960100",2017,2014,NA,"Couple, with Kids",NA,"Paris"
"31","3105464051020100",2017,2005,NA,"Single Parent",1,"Paris"
"32","3105464051020101",2017,2017,NA,"Single",NA,"Paris"
"33","2805464126670100",2017,2016,NA,"Single",1,"Paris"
"34","3105464126670100",2017,2007,NA,"Single",1,"Paris"
"35","2505464115750100",2017,2004,NA,"Couple, with Kids",1,"Paris"
"36","3205464042350100",2017,2012,NA,"Single",NA,"Paris"
"37","3005464092030100",2017,2007,NA,"Single",1,"Paris"
"38","3005464082450100",2017,2006,NA,"Couple, with Kids",1,"Paris"
"39","3205464014970100",2017,2016,NA,"Couple, No kids",NA,"Paris"
"40","3205464124060100",2017,2013,NA,"Single",NA,"Paris"
"41","2505464103840100",2017,2010,NA,"Couple, with Kids",1,"Paris"
"42","2805464103840100",2017,2012,NA,"Couple, No kids",1,"Paris"
"43","3005464103840100",2017,1991,NA,"Single Parent",1,"Paris"
