"","idind","idmen","year","empstat","respondent","profession","gender","age","wage"
"1","1170546402642010001","1705464026420100",2010,"Employed",1,"47","Female",39,10
"2","1170546402642010002","1705464026420100",2010,"Inactive",0,NA,"Male",6,NA
"3","1170546408411010001","1705464084110100",2010,"Inactive",1,NA,"Male",64,2630
"4","1170546408411010002","1705464084110100",2010,"Employed",0,"56","Female",59,12350
"5","1170781111575010001","1707811115750100",2010,"Employed",1,"35","Female",31,40160
"6","2170781111575010003","1707811115750100",2010,"Employed",0,"35","Male",32,39820
"7","1170781111575010004","1707811115750100",2010,"Inactive",0,NA,"Male",1,NA
"8","1170781105177010001","1707811051770100",2010,"Employed",1,"34","Male",61,94310
"9","1170781105177010002","1707811051770100",2010,"Employed",0,"34","Female",59,20660
"10","1170781109113010001","1707811091130100",2010,"Unemployed",1,NA,"Female",37,1310
"11","2170781109113010003","1707811091130100",2010,"Inactive",0,NA,"Male",3,NA
"12","1170848410880010001","1708484108800100",2010,"Retired",1,NA,"Male",63,0
"13","1170848411575010001","1708484115750100",2010,"Retired",1,NA,"Male",74,0
"14","1170848411575010002","1708484115750100",2010,"Inactive",0,NA,"Female",76,0
"15","1170848411237010001","1708484112370100",2010,"Employed",1,"52","Female",49,18950
"16","1171006901760010001","1710069017600100",2010,"Employed",1,"38","Male",35,34600
"17","1171006901760010002","1710069017600100",2010,"Employed",0,"54","Female",35,20030
"18","1171006901760010003","1710069017600100",2010,"Inactive",0,NA,"Male",5,NA
"19","1171006901760010004","1710069017600100",2010,"Inactive",0,NA,"Female",2,NA
"20","1171006903937010001","1710069039370100",2010,"Retired",1,NA,"Female",75,0
"21","1170138602006010001","1701386020060100",2010,"Employed",1,"65","Male",45,22510
"22","1170138605822010001","1701386058220100",2010,"Retired",1,NA,"Female",74,0
"23","1170138609939010001","1701386099390100",2010,"Employed",1,"35","Male",36,141010
"24","1170138609939010002","1701386099390100",2010,"Inactive",0,NA,"Female",37,2000
"25","1170138609939010003","1701386099390100",2010,"Inactive",0,NA,"Female",8,NA
"26","1170138609939010004","1701386099390100",2010,"Inactive",0,NA,"Female",6,NA
"27","1170138609939010005","1701386099390100",2010,"Inactive",0,NA,"Female",3,NA
"28","1170138612268010001","1701386122680100",2010,"Retired",1,NA,"Female",88,0
"29","1170138604513010001","1701386045130100",2010,"Employed",1,"37","Male",32,32380
"30","2170138604513010002","1701386045130100",2010,"Unemployed",0,NA,"Female",33,0
"31","1170783901804010001","1707839018040100",2010,"Employed",1,"35","Female",41,10990
"32","1170783901804010002","1707839018040100",2010,"Inactive",0,NA,"Male",12,NA
"33","1170975203322010001","1709752033220100",2010,"Retired",1,NA,"Male",61,6050
"34","1170975203322010002","1709752033220100",2010,"Inactive",0,NA,"Female",62,0
"35","1170975209203010002","1709752092030100",2010,"Inactive",0,NA,"Female",50,0
"36","1170975209203010005","1709752092030100",2010,"Inactive",0,NA,"Female",12,NA
"37","1170975209203010006","1709752092030100",2010,"Inactive",0,NA,"Male",7,NA
"38","1170975201804010001","1709752018040100",2010,"Inactive",1,NA,"Female",79,0
"39","1170975200100010001","1709752001000100",2010,"Employed",1,"56","Female",46,21780
"40","1170975200100010002","1709752001000100",2010,"Inactive",0,NA,"Male",15,NA
"41","1170975206663010001","1709752066630100",2010,"Employed",1,"33","Male",47,38720
"42","1170975206663010002","1709752066630100",2010,"Employed",0,"45","Female",46,24240
"43","1170975206663010003","1709752066630100",2010,"Inactive",0,NA,"Female",25,4750
"44","1170975206663010004","1709752066630100",2010,"Inactive",0,NA,"Female",17,0
"45","1170397410906010001","1703974109060100",2010,"Retired",1,NA,"Female",79,0
"46","1170178705514010001","1701787055140100",2010,"Retired",1,NA,"Female",76,0
"47","1170178707873010001","1701787078730100",2010,"Inactive",1,NA,"Female",49,36250
"48","1170178702385010001","1701787023850100",2010,"Employed",1,"37","Female",30,31510
