"","idmen","year","datent","myear","mstatus","move","location"
"1","2705464102990100",2014,2014,2014,"Single",NA,NA
"2","2105464013160100",2014,1997,1997,"Single",NA,NA
"3","2405464073620100",2014,1982,1981,"Couple, No kids",NA,NA
"4","2405464032540100",2014,1998,1998,"Single",NA,NA
"5","2405464032540101",2014,2011,2011,"Single",NA,NA
"6","2605464108800100",2014,2011,2011,"Couple, with Kids",NA,NA
"7","2805464017600100",2014,2006,2006,"Single",NA,NA
"8","2605464015750100",2014,2011,2011,"Couple, with Kids",NA,"Paris"
"9","2505464020540100",2014,1993,1993,"Single",NA,NA
"10","2905464020060100",2014,1977,1977,"Single",NA,NA
"11","2105464101960100",2014,2012,2012,"Couple, No kids",NA,NA
"12","2805464126670100",2014,2010,2010,"Single",NA,NA
"13","2505464026420100",2014,1967,1986,"Single",NA,NA
"14","2705464026420100",2014,1969,2012,"Other",NA,NA
"15","2905464026420100",2014,1980,1980,"Single",NA,NA
"16","2505464115750100",2014,2004,2004,"Couple, with Kids",NA,NA
"17","2305464042350100",2014,2009,2009,"Couple, with Kids",NA,NA
"18","2505464042350100",2014,1984,1984,"Couple, No kids",NA,NA
"19","2705464082450100",2014,1995,1994,"Single",NA,NA
"20","2105464014970100",2014,2005,2007,"Single",NA,NA
"21","2205464014970100",2014,2011,2011,"Couple, with Kids",NA,"Paris"
"22","2605464014970100",2014,2013,2013,"Single",NA,NA
"23","2205464124060100",2014,1982,1982,"Couple, No kids",NA,NA
"24","2505464103840100",2014,2010,2009,"Couple, with Kids",NA,NA
"25","2705464103840100",2014,2008,2008,"Couple, with Kids",NA,NA
"26","2805464103840100",2014,2012,2012,"Couple, No kids",NA,NA
"27","2805464031690100",2014,NA,2013,"Couple, with Kids",NA,NA
"28","2605464017390100",2014,2008,2008,"Single Parent",NA,NA
"29","2705464017390100",2014,1990,1990,"Single",NA,NA
"30","2405464034710100",2014,2014,2014,"Couple, No kids",NA,"Urban 200000 to 1999999"
"31","2705464034710100",2014,1997,1997,"Couple, No kids",NA,NA
"32","2405464058220100",2014,1978,1978,"Couple, No kids",NA,NA
"33","2605464058220100",2014,2013,2013,"Couple, No kids",NA,"Paris"
"34","2105464055140100",2014,2013,2013,"Single",NA,NA
"35","2405464055140100",2014,2002,1988,"Single",NA,NA
"36","2505464055140100",2014,1992,1992,"Couple, with Kids",NA,NA
"37","2705464055140100",2014,2013,2013,"Single",NA,"Paris"
"38","2405464030630100",2014,1997,1997,"Single Parent",NA,NA
"39","2905464030630100",2014,1991,1991,"Single",NA,NA
"40","2405464067050100",2014,2007,2009,"Single",NA,NA
"41","2605464067050100",2014,2013,2013,"Couple, No kids",NA,"Paris"
"42","2605464106580100",2014,2002,2002,"Single",NA,NA
"43","2705464106580100",2014,1993,2004,"Couple, with Kids",NA,"Rural"
"44","2905464106580100",2014,1985,1985,"Couple, No kids",NA,NA
"45","2305464057590100",2014,2012,2012,"Single Parent",NA,NA
"46","2405464057590100",2014,1987,1987,"Single",NA,NA
"47","2505464057590100",2014,1998,1996,"Single Parent",NA,NA
"48","2705464057590100",2014,2013,2013,"Couple, No kids",NA,"Urban 200000 to 1999999"
"49","2905464057590100",2014,2004,2004,"Single",NA,NA
"50","2105464012180100",2014,1998,1998,"Single",NA,NA
"51","2505464012180100",2014,1994,1994,"Single",NA,NA
"52","2705464012180100",2014,1972,1972,"Couple, No kids",NA,NA
"53","2605464113300100",2014,2002,2002,"Couple, No kids",NA,NA
"54","2705464113300100",2014,2001,2001,"Single",NA,NA
"55","2605464117610100",2014,1998,1998,"Single",NA,NA
"56","2205464099390100",2014,2004,2004,"Single",NA,NA
"57","2305464078730100",2014,2011,2011,"Couple, with Kids",NA,"Paris"
"58","2405464078730100",2014,1974,2003,"Single",NA,NA
"59","2605464078730100",2014,1985,NA,"Single",NA,NA
"60","2905464012930100",2014,2010,2010,"Single",NA,NA
"61","2205464101420100",2014,1981,1981,"Single",NA,NA
"62","2705464101420100",2014,2013,2013,"Couple, No kids",NA,NA
"63","2805464101420100",2014,2014,2014,"Single Parent",NA,"Paris"
"64","2305464001240100",2014,2011,2009,"Couple, with Kids",NA,"Urban 20000 to 49999"
"65","2905464001240100",2014,1995,1995,"Single",NA,NA
