"","idind","idmen","year","empstat","respondent","profession","gender","age","wage"
"1","1300546410299010001","3005464102990100",2015,"Inactive",1,NA,"Male",50,46427
"2","1300546406786010001","3005464067860100",2015,"Employed",1,"33","Female",57,90405
"3","1240546407362010001","2405464073620100",2015,"Retired",1,NA,"Male",72,0
"4","1240546407362010002","2405464073620100",2015,"Retired",0,NA,"Female",67,0
"5","1300546407362010001","3005464073620100",2015,"Employed",1,"46","Male",48,0
"6","1300546407362010002","3005464073620100",2015,"Inactive",0,NA,"Female",12,NA
"7","1300546407362010003","3005464073620100",2015,"Inactive",0,NA,"Male",8,NA
"8","1240546403254010001","2405464032540100",2015,"Employed",1,"38","Male",27,51770
"9","1240546403254010002","2405464032540101",2015,"Employed",0,"37","Female",34,62497
"10","1260546410880010001","2605464108800100",2015,"Employed",1,"37","Female",29,40363
"11","2260546410880010002","2605464108800100",2015,"Unemployed",0,NA,"Male",30,20900
"12","1260546410880010002","2605464108800100",2015,"Inactive",0,NA,"Male",1,NA
"13","1260546410880010003","2605464108800100",2015,"Inactive",0,NA,"Male",0,NA
"14","1300546410880010001","3005464108800100",2015,"Employed",1,"33","Male",49,63009
"15","1300546410880010002","3005464108800100",2015,"Employed",0,"35","Female",47,105654
"16","1300546410880010003","3005464108800100",2015,"Inactive",0,NA,"Female",20,1867
"17","1300546410880010004","3005464108800100",2015,"Inactive",0,NA,"Female",16,NA
"18","1280546401760010001","2805464017600100",2015,"Unemployed",1,NA,"Female",58,0
"19","1300546408968010001","3005464089680100",2015,"Employed",1,"34","Male",33,47789
"20","1300546408968010002","3005464089680100",2015,"Employed",0,"43","Female",31,22857
"21","1260546401575010001","2605464015750100",2015,"Employed",1,"38","Female",36,46114
"22","1260546401575010002","2605464015750100",2015,"Employed",0,"33","Male",36,49540
"23","1260546401575010003","2605464015750100",2015,"Inactive",0,NA,"Male",6,NA
"24","1260546401575010004","2605464015750100",2015,"Inactive",0,NA,"Male",4,NA
"25","1250546402054010001","2505464020540100",2015,"Retired",1,NA,"Male",85,0
"26","1300546402054010001","3005464020540100",2015,"Retired",1,NA,"Male",84,0
"27","1300546402054010002","3005464020540100",2015,"Inactive",0,NA,"Female",58,166
"28","1300546404331010001","3005464043310100",2015,"Employed",1,"33","Female",47,45209
"29","1300546404331010002","3005464043310100",2015,"Employed",0,"35","Male",41,1529
"30","1300546402092010001","3005464020920100",2015,"Employed",1,"22","Male",52,15123
"31","1300546402092010002","3005464020920100",2015,"Employed",0,"37","Female",48,85855
"32","1300546401606010001","3005464016060100",2015,"Employed",1,"23","Male",50,60477
"33","1300546401606010002","3005464016060100",2015,"Inactive",0,NA,"Male",15,NA
"34","1300546401606010003","3005464016060100",2015,"Inactive",0,NA,"Female",12,NA
"35","1290546402006010001","2905464020060100",2015,"Retired",1,NA,"Female",74,23773
"36","1300546408203010001","3005464082030100",2015,"Retired",1,NA,"Male",83,0
"37","1300546408203010002","3005464082030100",2015,"Inactive",0,NA,"Female",81,0
"38","1280546410196010001","2805464101960100",2015,"Retired",1,NA,"Female",76,0
"39","1300546410196010001","3005464101960100",2015,"Employed",1,"35","Male",50,17405
"40","1300546410196010002","3005464101960100",2015,"Employed",0,"35","Female",40,19948
"41","1300546410196010003","3005464101960100",2015,"Inactive",0,NA,"Female",8,NA
"42","1280546412667010001","2805464126670100",2015,"Employed",1,"37","Male",34,58012
"43","1270546402642010001","2705464026420100",2015,"Employed",1,"22","Male",60,15123
"44","2270546402642010002","2705464026420100",2015,"Employed",0,NA,"Male",64,8250
"45","1250546411575010001","2505464115750100",2015,"Employed",1,"31","Male",63,33888
"46","1250546411575010002","2505464115750100",2015,"Employed",0,NA,"Female",62,45388
"47","1250546411575010003","2505464115750100",2015,"Inactive",0,"56","Male",24,6547
"48","1250546411575010004","2505464115750100",2015,"Inactive",0,NA,"Male",21,2638
"49","1230546404235010001","2305464042350100",2015,"Employed",1,"46","Male",54,0
"50","1230546404235010002","2305464042350100",2015,"Employed",0,"52","Female",40,25675
"51","1230546404235010003","2305464042350100",2015,"Inactive",0,NA,"Male",6,NA
"52","2230546404235010004","2305464042350100",2015,"Inactive",0,NA,"Male",3,NA
"53","1250546404235010001","2505464042350100",2015,"Employed",1,"68","Female",49,47917
"54","1250546404235010002","2505464042350100",2015,"Employed",0,"68","Male",55,33249
"55","1300546409203010001","3005464092030100",2015,"Retired",1,NA,"Female",69,0
"56","1300546408245010001","3005464082450100",2015,"Employed",1,"34","Female",41,44491
"57","1300546408245010002","3005464082450100",2015,"Employed",0,"34","Male",40,55872
"58","1300546408245010003","3005464082450100",2015,"Inactive",0,NA,"Female",13,NA
"59","1300546408245010004","3005464082450100",2015,"Inactive",0,NA,"Female",10,NA
"60","1300546408245010005","3005464082450100",2015,"Inactive",0,NA,"Male",6,NA
"61","1220546401497010001","2205464014970100",2015,"Employed",1,"22","Male",42,125202
"62","1220546401497010002","2205464014970100",2015,"Employed",0,"22","Female",46,125984
"63","1220546401497010003","2205464014970100",2015,"Inactive",0,NA,"Female",16,NA
"64","1220546401497010004","2205464014970100",2015,"Inactive",0,NA,"Male",11,NA
"65","1260546401497010001","2605464014970100",2015,"Employed",1,"35","Male",29,0
"66","1250546410384010001","2505464103840100",2015,"Employed",1,"38","Female",46,52051
"67","1250546410384010002","2505464103840100",2015,"Employed",0,"34","Male",42,35896
"68","1250546410384010003","2505464103840100",2015,"Inactive",0,NA,"Male",9,NA
"69","1250546410384010004","2505464103840100",2015,"Inactive",0,NA,"Male",5,NA
"70","1270546410384010001","2705464103840100",2015,"Employed",1,"33","Male",57,113165
"71","1270546410384010002","2705464103840100",2015,"Inactive",0,NA,"Female",46,0
"72","1270546410384010003","2705464103840100",2015,"Inactive",0,NA,"Female",14,NA
"73","1270546410384010004","2705464103840100",2015,"Inactive",0,NA,"Female",8,NA
"74","1280546410384010001","2805464103840100",2015,"Employed",1,"37","Male",28,48099
"75","1280546410384010002","2805464103840100",2015,"Employed",0,"34","Female",27,32885
"76","1300546410384010001","3005464103840100",2015,"Employed",1,"38","Female",60,72357
"77","1300546410384010002","3005464103840100",2015,"Inactive",0,NA,"Female",21,1285
"78","1300546403169010001","3005464031690100",2015,"Employed",1,"38","Male",37,43390
"79","1300546403169010002","3005464031690100",2015,"Employed",0,"55","Female",35,0
"80","1300546403169010003","3005464031690100",2015,"Inactive",0,NA,"Male",2,NA
"81","1300546403169010004","3005464031690100",2015,"Inactive",0,NA,"Male",1,NA
"82","1260546401739010001","2605464017390100",2015,"Employed",1,"52","Female",59,25551
"83","1260546401739010003","2605464017390100",2015,"Unemployed",0,NA,"Female",23,0
"84","2260546401739010004","2605464017390100",2015,"Employed",0,"47","Male",27,18643
"85","1270546401739010001","2705464017390100",2015,"Retired",1,NA,"Male",70,0
"86","1240546403471010001","2405464034710100",2015,"Unemployed",1,NA,"Male",36,0
"87","1240546403471010002","2405464034710100",2015,"Employed",0,"46","Female",33,5227
"88","1270546403471010001","2705464034710100",2015,"Employed",1,"45","Female",61,48134
"89","1270546403471010002","2705464034710100",2015,"Employed",0,"54","Male",59,27623
"90","1240546405822010001","2405464058220100",2015,"Employed",1,"22","Male",70,5471
"91","1240546405822010002","2405464058220100",2015,"Retired",0,NA,"Female",64,0
"92","1260546405822010001","2605464058220100",2015,"Employed",1,"38","Male",32,41216
"93","2260546405822010002","2605464058220100",2015,"Employed",0,"31","Female",31,7267
"94","1240546405514010001","2405464055140100",2015,"Retired",1,NA,"Male",73,0
"95","1250546405514010001","2505464055140100",2015,"Employed",1,"43","Male",55,37430
"96","1250546405514010002","2505464055140100",2015,"Employed",0,"43","Female",48,0
"97","1250546405514010003","2505464055140100",2015,"Employed",0,"43","Male",22,0
"98","1250546405514010004","2505464055140100",2015,"Inactive",0,NA,"Male",20,1263
"99","1270546405514010001","2705464055140100",2015,"Employed",1,"34","Female",38,18548
"100","1300546405514010001","3005464055140100",2015,"Retired",1,NA,"Female",83,0
"101","1240546403063010001","2405464030630100",2015,"Employed",1,"56","Female",48,19796
"102","1240546403063010002","2405464030630100",2015,"Inactive",0,NA,"Female",9,NA
"103","1290546403063010001","2905464030630100",2015,"Retired",1,NA,"Female",63,0
"104","1240546406705010001","2405464067050100",2015,"Employed",1,"62","Male",40,38820
"105","1260546406705010001","2605464067050100",2015,"Employed",1,"43","Female",25,25107
"106","2260546406705010002","2605464067050100",2015,"Employed",0,"47","Male",27,30071
"107","1260546410658010001","2605464106580100",2015,"Unemployed",1,NA,"Male",45,0
"108","1270546410658010001","2705464106580100",2015,"Employed",1,"43","Male",60,42809
"109","2270546410658010002","2705464106580100",2015,"Employed",0,"38","Female",53,48993
"110","2270546410658010003","2705464106580100",2015,"Inactive",0,NA,"Female",17,0
"111","1290546410658010001","2905464106580100",2015,"Retired",1,NA,"Male",76,0
"112","1290546410658010002","2905464106580100",2015,"Inactive",0,NA,"Female",80,0
"113","1230546405759010001","2305464057590100",2015,"Unemployed",1,NA,"Female",53,43424
"114","1230546405759010002","2305464057590100",2015,"Employed",0,"52","Male",20,4025
"115","1240546405759010001","2405464057590100",2015,"Retired",1,NA,"Male",72,3138
"116","1250546405759010001","2505464057590100",2015,"Employed",1,"43","Female",57,36342
"117","1250546405759010002","2505464057590100",2015,"Employed",0,"42","Male",26,16991
"118","1270546405759010001","2705464057590100",2015,"Employed",1,"38","Male",30,45953
"119","2270546405759010002","2705464057590100",2015,"Employed",0,NA,"Female",28,22843
"120","2270546405759010003","2705464057590100",2015,"Inactive",0,NA,"Female",0,NA
"121","1290546405759010001","2905464057590100",2015,"Employed",1,"47","Male",46,49646
"122","1300546405759010001","3005464057590100",2015,"Retired",1,NA,"Male",62,0
"123","1300546405759010002","3005464057590100",2015,"Employed",0,"31","Female",61,15123
"124","1250546401218010001","2505464012180100",2015,"Retired",1,NA,"Female",76,0
"125","1250546411330010001","2505464113300100",2015,"Employed",1,"34","Female",49,57764
"126","1270546411330010001","2705464113300100",2015,"Unemployed",1,NA,"Male",32,0
"127","1260546411761010001","2605464117610100",2015,"Employed",1,"46","Male",45,38079
"128","1220546409939010001","2205464099390100",2015,"Employed",1,"45","Male",49,41213
"129","1230546407873010001","2305464078730100",2015,"Employed",1,"38","Male",36,73657
"130","2230546407873010002","2305464078730100",2015,"Employed",0,"42","Female",44,0
"131","2230546407873010003","2305464078730100",2015,"Inactive",0,NA,"Male",2,NA
"132","2230546407873010004","2305464078730100",2015,"Inactive",0,NA,"Female",0,NA
"133","1300546407873010001","3005464078730100",2015,"Employed",1,"34","Male",32,44498
"134","1300546407873010002","3005464078730100",2015,"Employed",0,"34","Female",31,47309
"135","1290546401293010001","2905464012930100",2015,"Retired",1,NA,"Female",61,19105
"136","1300546401293010001","3005464012930100",2015,"Employed",1,"46","Male",61,26557
"137","1220546410142010001","2205464101420100",2015,"Retired",1,NA,"Female",70,0
"138","1270546410142010001","2705464101420100",2015,"Employed",1,"47","Male",35,34518
"139","2270546410142010002","2705464101420100",2015,"Employed",0,"43","Female",31,29210
"140","1280546410142010001","2805464101420100",2015,"Employed",1,"38","Female",43,55359
"141","1280546410142010002","2805464101420100",2015,"Inactive",0,NA,"Male",12,NA
"142","1300546410142010001","3005464101420100",2015,"Inactive",1,NA,"Male",22,0
"143","1230546400124010001","2305464001240100",2015,"Employed",1,"38","Male",30,48839
"144","1230546400124010002","2305464001240100",2015,"Employed",0,"34","Female",32,25426
"145","1230546400124010003","2305464001240100",2015,"Inactive",0,NA,"Male",3,NA
"146","1230546400124010004","2305464001240100",2015,"Inactive",0,NA,"Female",0,NA
"147","1290546400124010001","2905464001240100",2015,"Retired",1,NA,"Female",82,0
"148","1230546412114010001","2305464121140100",2015,"Employed",1,"37","Female",36,47145
"149","2230546412114010002","2305464121140100",2015,"Employed",0,"31","Male",37,40045
"150","1250546412114010001","2505464121140100",2015,"Employed",1,"34","Female",30,26567
"151","2250546412114010002","2505464121140100",2015,"Employed",0,"34","Male",28,33855
"152","1250546412114010003","2505464121140100",2015,"Inactive",0,NA,"Male",0,NA
"153","1270546412114010001","2705464121140100",2015,"Employed",1,"33","Male",65,79408
"154","1270546412114010002","2705464121140100",2015,"Employed",0,"34","Female",65,141651
"155","1290546412114010001","2905464121140100",2015,"Employed",1,"37","Male",51,83227
"156","1290546412114010002","2905464121140100",2015,"Employed",0,"33","Female",54,31358
"157","1250546402518010001","2505464025180100",2015,"Employed",1,"42","Male",58,37826
"158","1270546402518010001","2705464025180100",2015,"Employed",1,"48","Male",50,24080
"159","1270546402518010002","2705464025180100",2015,"Unemployed",0,NA,"Male",24,0
"160","1270546402518010003","2705464025180100",2015,"Inactive",0,NA,"Female",21,0
"161","1270546402518010004","2705464025180100",2015,"Inactive",0,NA,"Female",18,0
"162","1290546402518010001","2905464025180100",2015,"Employed",1,"38","Female",44,39486
"163","1290546402518010002","2905464025180100",2015,"Inactive",0,NA,"Male",9,NA
"164","1290546402518010003","2905464025180100",2015,"Inactive",0,NA,"Male",9,NA
"165","1300546402518010001","3005464025180100",2015,"Inactive",1,NA,"Female",23,3963
"166","1300546402518020001","3005464025180200",2015,"Inactive",1,NA,"Female",22,7868
"167","1230546407569010001","2305464075690100",2015,"Retired",1,NA,"Male",61,3051
"168","1230546407569010002","2305464075690100",2015,"Retired",0,NA,"Female",64,0
"169","1250546407569010002","2505464075690100",2015,"Employed",0,"43","Male",28,0
"170","2250546407569010003","2505464075690100",2015,"Employed",0,"43","Female",27,0
"171","2250546407569010004","2505464075690100",2015,"Inactive",0,NA,"Female",0,NA
"172","1290546407569010001","2905464075690100",2015,"Employed",1,"37","Male",41,90446
"173","1290546407569010002","2905464075690100",2015,"Employed",0,"34","Female",43,46962
"174","1290546407569010003","2905464075690100",2015,"Inactive",0,NA,"Female",12,NA
"175","1290546407569010004","2905464075690100",2015,"Inactive",0,NA,"Male",10,NA
"176","1290546407569010005","2905464075690100",2015,"Inactive",0,NA,"Male",8,NA
"177","1290546407569010006","2905464075690100",2015,"Inactive",0,NA,"Male",6,NA
"178","1300546407569010001","3005464075690100",2015,"Employed",1,"33","Male",60,85519
"179","1300546407569010002","3005464075690100",2015,"Retired",0,NA,"Female",60,23432
"180","1300546407569010003","3005464075690100",2015,"Employed",0,"52","Male",35,24517
"181","1270546410906010001","2705464109060100",2015,"Employed",1,"34","Female",41,49917
"182","1270546410906010002","2705464109060100",2015,"Employed",0,"34","Male",43,44521
"183","1270546410906010003","2705464109060100",2015,"Inactive",0,NA,"Male",9,NA
"184","1270546410906010004","2705464109060100",2015,"Inactive",0,NA,"Female",7,NA
"185","1280546410906010001","2805464109060100",2015,"Retired",1,NA,"Female",72,0
"186","1290546410906010001","2905464109060100",2015,"Employed",1,"38","Female",48,44396
"187","1290546410906010002","2905464109060100",2015,"Retired",0,NA,"Female",70,0
"188","1300546410906010001","3005464109060100",2015,"Unemployed",1,NA,"Female",60,0
"189","1280546402721010001","2805464027210100",2015,"Retired",1,NA,"Female",66,665
"190","1280546402721010002","2805464027210100",2015,"Retired",0,NA,"Male",70,135
