"","idmen","year","datent","myear","mstatus","move","location"
"1","3005464102990100",2018,2000,NA,"Single",1,"Paris"
"2","3305464013160100",2018,2008,NA,"Couple, with Kids",NA,"Paris"
"3","3005464067860100",2018,2002,NA,"Single",1,"Paris"
"4","3305464073620100",2018,2000,NA,"Single",NA,"Paris"
"5","3205464032540100",2018,1981,NA,"Single",1,"Paris"
"6","2605464108800100",2018,2014,NA,"Couple, with Kids",1,"Urban 200000 to 1999999"
"7","3005464108800100",2018,2003,NA,"Couple, with Kids",1,"Paris"
"8","3205464108800100",2018,1991,NA,"Couple, No kids",1,"Paris"
"9","2805464017600100",2018,2006,NA,"Single",1,"Paris"
"10","3205464017600100",2018,2017,NA,"Couple, No kids",2,"Paris"
"11","3005464089680100",2018,2016,NA,"Couple, with Kids",1,"Paris"
"12","3205464089680100",2018,2012,NA,"Couple, with Kids",1,"Paris"
"13","3105464040580100",2018,1940,NA,"Couple, No kids",1,"Paris"
"14","3305464040580100",2018,2014,NA,"Single",NA,"Paris"
"15","3105464057410100",2018,1989,NA,"Other",1,"Paris"
"16","2505464020540100",2018,1993,NA,"Single",1,"Paris"
"17","3305464020540100",2018,2000,NA,"Single",NA,"Paris"
"18","3105464094370100",2018,1997,NA,"Couple, with Kids",1,"Paris"
"19","3305464094370100",2018,2007,NA,"Single",NA,"Paris"
"20","3005464020920100",2018,2002,NA,"Couple, No kids",1,"Paris"
"21","3305464020920100",2018,2006,NA,"Single",NA,"Paris"
"22","3305464016060100",2018,2015,NA,"Single",NA,"Paris"
"23","3205464020060100",2018,2005,NA,"Couple, with Kids",1,"Paris"
"24","3305464020060100",2018,2012,NA,"Couple, with Kids",NA,"Paris"
"25","3305464082030100",2018,2000,NA,"Single",NA,"Paris"
"26","3205464118450100",2018,2004,NA,"Couple, with Kids",1,"Paris"
"27","3305464118450100",2018,1999,NA,"Couple, No kids",NA,"Paris"
"28","3105464017070100",2018,2013,NA,"Couple, with Kids",1,"Paris"
"29","2805464101960100",2018,2000,NA,"Single",1,"Paris"
"30","3105464101960100",2018,1994,NA,"Single",1,"Paris"
"31","3205464101960100",2018,2014,NA,"Couple, with Kids",1,"Paris"
"32","3305464101960100",2018,1984,NA,"Couple, No kids",NA,"Paris"
"33","3105464051020100",2018,2005,NA,"Single Parent",1,"Paris"
"34","3105464051020101",2018,2017,NA,"Single",1,"Paris"
"35","3305464051020100",2018,2014,NA,"Single",NA,"Paris"
"36","2805464126670100",2018,2016,NA,"Single",1,"Paris"
"37","3105464126670100",2018,2007,NA,"Single",1,"Paris"
"38","3305464126670100",2018,2017,NA,"Single Parent",NA,"Paris"
"39","3305464026420100",2018,2015,NA,"Couple, No kids",NA,"Paris"
"40","3305464115750100",2018,2007,NA,"Single",NA,"Paris"
"41","3205464042350100",2018,2012,NA,"Single",1,"Paris"
"42","3305464042350100",2018,2007,NA,"Couple, with Kids",NA,"Paris"
"43","3005464092030100",2018,2007,NA,"Single",1,"Paris"
"44","3305464082450100",2018,1998,NA,"Single Parent",NA,"Paris"
"45","3205464014970100",2018,2006,NA,"Couple, No kids",2,"Paris"
"46","3305464014970100",2018,2017,NA,"Single",NA,"Paris"
"47","3205464124060100",2018,2013,NA,"Single",1,"Paris"
"48","3305464124060100",2018,1998,NA,"Couple, No kids",NA,"Paris"
"49","2505464103840100",2018,2010,NA,"Couple, with Kids",1,"Paris"
"50","2805464103840100",2018,2012,NA,"Couple, with Kids",1,"Paris"
"51","3005464103840100",2018,1991,NA,"Single Parent",1,"Paris"
"52","3005464031690100",2018,2018,NA,"Couple, with Kids",2,"Urban 200000 to 1999999"
"53","3205464031690100",2018,1988,NA,"Single",1,"Paris"
"54","3305464031690100",2018,2011,NA,"Single Parent",NA,"Paris"
"55","2605464017390100",2018,2008,NA,"Single Parent",1,"Paris"
"56","2705464017390100",2018,1990,NA,"Single",1,"Paris"
"57","3205464017390100",2018,2007,NA,"Other",1,"Paris"
"58","3105464034710100",2018,2012,NA,"Single",1,"Paris"
"59","3305464034710100",2018,2004,NA,"Couple, No kids",NA,"Paris"
"60","2505464055140100",2018,1992,NA,"Couple, with Kids",1,"Paris"
"61","2705464055140100",2018,2013,NA,"Single",1,"Paris"
"62","3105464055140100",2018,2004,NA,"Single",1,"Paris"
"63","2905464030630100",2018,1991,NA,"Single",1,"Paris"
"64","3205464030630100",2018,2009,NA,"Single",1,"Paris"
"65","3305464030630100",2018,1995,NA,"Couple, No kids",NA,"Paris"
"66","3105464067050100",2018,2012,NA,"Single",1,"Paris"
"67","3305464067050100",2018,2014,NA,"Couple, No kids",NA,"Paris"
"68","2905464106580100",2018,1985,NA,"Couple, No kids",1,"Paris"
"69","3205464106580100",2018,1977,NA,"Single",1,"Paris"
"70","3305464106580100",2018,2013,NA,"Single",NA,"Paris"
"71","2505464057590100",2018,2015,NA,"Couple, No kids",1,"Paris"
"72","2505464057590101",2018,2016,NA,"Single",1,"Paris"
"73","3005464057590100",2018,2006,NA,"Couple, No kids",1,"Paris"
"74","3105464057590100",2018,1990,NA,"Single",1,"Paris"
"75","3305464057590100",2018,2017,NA,"Single",NA,"Paris"
"76","3205464012180100",2018,1978,NA,"Single",1,"Paris"
"77","2505464113300100",2018,2003,NA,"Single",1,"Paris"
"78","3105464113300100",2018,2017,NA,"Couple, with Kids",2,"Urban 200000 to 1999999"
"79","3305464113300100",2018,2014,NA,"Couple, with Kids",NA,"Paris"
"80","3205464099390100",2018,1994,NA,"Couple, No kids",1,"Paris"
"81","3005464078730100",2018,2015,NA,"Couple, No kids",1,"Paris"
"82","3105464078730100",2018,2006,NA,"Single",1,"Paris"
"83","3105464012930100",2018,2000,NA,"Couple, No kids",1,"Paris"
"84","3205464012930100",2018,2017,NA,"Single",1,"Paris"
"85","2705464101420100",2018,2013,NA,"Couple, No kids",1,"Paris"
"86","3305464101420100",2018,2016,NA,"Single",NA,"Paris"
"87","3105464001240100",2018,1981,NA,"Couple, No kids",1,"Paris"
"88","3305464001240100",2018,2016,NA,"Couple, No kids",NA,"Paris"
"89","2505464121140100",2018,2015,NA,"Couple, with Kids",1,"Urban 200000 to 1999999"
"90","2705464121140100",2018,1997,NA,"Couple, No kids",1,"Paris"
"91","3105464121140100",2018,1978,NA,"Single",1,"Paris"
"92","2505464025180100",2018,2017,NA,"Couple, No kids",1,"Paris"
"93","2705464025180100",2018,2002,NA,"Single Parent",1,"Paris"
"94","2905464025180100",2018,2006,NA,"Single Parent",1,"Paris"
"95","3005464025180100",2018,2010,NA,"Couple, with Kids",2,"Rural"
"96","3105464025180100",2018,2008,NA,"Couple, with Kids",1,"Paris"
"97","3305464025180100",2018,1974,NA,"Single",NA,"Paris"
"98","2505464075690100",2018,2013,NA,"Couple, with Kids",1,"Rural"
"99","2905464075690100",2018,2017,NA,"Couple, with Kids",2,"Paris"
"100","3005464075690100",2018,2009,NA,"Couple, with Kids",1,"Paris"
"101","3305464075690100",2018,2011,NA,"Couple, with Kids",NA,"Paris"
"102","2805464109060100",2018,2004,NA,"Single Parent",1,"Paris"
"103","2805464027210100",2018,1982,NA,"Couple, No kids",1,"Paris"
"104","3205464095500100",2018,1978,NA,"Single",1,"Paris"
"105","3305464095500100",2018,2004,NA,"Single Parent",NA,"Paris"
"106","2905464023850100",2018,2009,NA,"Single",1,"Paris"
"107","3105464023850100",2018,2017,NA,"Couple, with Kids",2,"Urban 200000 to 1999999"
"108","2805464118640100",2018,2017,NA,"Couple, No kids",2,"Paris"
"109","2905464118640100",2018,2016,NA,"Single",1,"Urban 200000 to 1999999"
"110","3305464118640100",2018,2000,NA,"Single Parent",NA,"Paris"
"111","3005464073230100",2018,2016,NA,"Couple, with Kids",1,"Paris"
"112","3105464073230100",2018,1987,NA,"Couple, with Kids",1,"Paris"
"113","3305464059550100",2018,1975,NA,"Couple, No kids",NA,"Paris"
"114","2605464114960100",2018,2007,NA,"Single",1,"Paris"
"115","2705464114960100",2018,2012,NA,"Single",1,"Paris"
"116","3005464114960100",2018,2017,NA,"Single",2,"Paris"
"117","3205464114960100",2018,1984,NA,"Single Parent",1,"Paris"
"118","3005464010270100",2018,2015,NA,"Single",1,"Paris"
"119","2805464040950100",2018,1978,NA,"Couple, No kids",1,"Paris"
"120","3205464123980100",2018,2005,NA,"Couple, with Kids",1,"Paris"
"121","3005464012620100",2018,1996,NA,"Couple, No kids",1,"Paris"
"122","3205464012620100",2018,1983,NA,"Single Parent",1,"Paris"
"123","3305464012620100",2018,2010,NA,"Couple, with Kids",NA,"Paris"
"124","3005464124040100",2018,1955,NA,"Single",1,"Paris"
"125","3205464124040100",2018,2011,NA,"Couple, with Kids",1,"Paris"
"126","2505464042000100",2018,2012,NA,"Single Parent",1,"Urban 200000 to 1999999"
"127","2805464042000100",2018,2017,NA,"Couple, with Kids",2,"Urban 200000 to 1999999"
"128","3205464042000100",2018,2017,NA,"Couple, No kids",2,"Paris"
"129","3005464088460100",2018,2011,NA,"Single",1,"Paris"
"130","3205464088460100",2018,2016,NA,"Couple, No kids",1,"Paris"
"131","2805464104200100",2018,1996,NA,"Single",1,"Paris"
"132","3205464104200100",2018,2012,NA,"Single",1,"Paris"
"133","3305464104200100",2018,1999,NA,"Couple, No kids",NA,"Paris"
"134","2605464063150100",2018,2015,NA,"Couple, No kids",1,"Paris"
"135","3105464122680100",2018,1995,NA,"Single",1,"Paris"
"136","3205464122680200",2018,2017,NA,"Single",2,"Paris"
"137","3205464122680100",2018,2017,NA,"Single",2,"Paris"
"138","3305464122680100",2018,1966,NA,"Single",NA,"Paris"
"139","2605464051650100",2018,1990,NA,"Single",1,"Paris"
"140","3205464051650100",2018,1971,NA,"Single",1,"Paris"
"141","3305464051650100",2018,2011,NA,"Single Parent",NA,"Paris"
"142","2505464122000100",2018,1987,NA,"Single Parent",1,"Paris"
"143","3305464106930100",2018,2011,NA,"Single",NA,"Paris"
"144","2505464084110100",2018,2017,NA,"Single",2,"Paris"
"145","3205464053790100",2018,2006,NA,"Couple, with Kids",1,"Paris"
"146","3205464045130100",2018,2001,NA,"Single",1,"Paris"
"147","3305464045130100",2018,1995,NA,"Couple, with Kids",NA,"Paris"
"148","2605464059260100",2018,2002,NA,"Couple, No kids",1,"Paris"
"149","2905464059260100",2018,2007,NA,"Couple, No kids",1,"Paris"
"150","3005464059260100",2018,2014,NA,"Couple, No kids",1,"Paris"
"151","3305464059260100",2018,2015,NA,"Couple, with Kids",NA,"Paris"
"152","2805464001000100",2018,2006,NA,"Single",1,"Paris"
"153","3205464001000100",2018,1976,NA,"Couple, No kids",1,"Paris"
"154","2905464057530100",2018,2011,NA,"Couple, with Kids",1,"Paris"
"155","3105464057530100",2018,2007,NA,"Couple, No kids",1,"Paris"
"156","3205464057530100",2018,1971,NA,"Couple, No kids",1,"Paris"
"157","2805464064920100",2018,2014,NA,"Couple, with Kids",1,"Paris"
"158","3205464064920100",2018,2014,NA,"Single",1,"Paris"
"159","2905464051770100",2018,2000,NA,"Single",1,"Paris"
"160","3105464051770100",2018,1996,NA,"Couple, No kids",1,"Paris"
"161","3205464051770100",2018,1990,NA,"Single",1,"Paris"
"162","2805464081230100",2018,2004,NA,"Single Parent",1,"Paris"
"163","3005464081230100",2018,2018,NA,"Single",2,"Paris"
"164","3105464081230100",2018,2014,NA,"Single",1,"Paris"
"165","3305464081230100",2018,2012,NA,"Single",NA,"Paris"
"166","2505464039370100",2018,2001,NA,"Single",1,"Paris"
