"","idmen","year","datent","myear","mstatus","move","location"
"1","1500010039590100",2008,2008,2003,"Couple, No kids",NA,"Urban 200000 to 1999999"
"2","1500010051020100",2008,2001,2001,"Couple, No kids",NA,"Paris"
"3","1500010052310100",2008,1981,1981,"Single",NA,"Paris"
"4","1500010063150100",2008,2003,2003,"Single",NA,"Paris"
"5","1500010095380100",2008,2007,2007,"Couple, No kids",NA,"Urban 20000 to 49999"
"6","1500010121140100",2008,1989,1989,"Single",NA,"Paris"
"7","1500010125520100",2008,2002,2002,"Couple, with Kids",NA,"Paris"
"8","1500020017600100",2008,1984,1984,"Couple, No kids",NA,"Urban 50000 to 99999"
"9","1500020057590100",2008,1972,1969,"Couple, No kids",NA,"Rural"
"10","1500020092030100",2008,2003,2003,"Couple, with Kids",NA,"Rural"
"11","1500020101420100",2008,2000,2000,"Couple, with Kids",NA,"Rural"
"12","1500149011670101",2008,2005,2005,"Couple, No kids",NA,"Urban 200000 to 1999999"
"13","1500149015750100",2008,2007,2007,"Single",NA,"Urban 5000 to 9999"
"14","1500149015750101",2008,2007,2007,"Other",NA,"Rural"
"15","1500149051650100",2008,2006,2006,"Couple, No kids",NA,"Urban 10000 to 19999"
"16","1500149117610100",2008,1984,1984,"Couple, with Kids",NA,"Rural"
"17","1500149123980100",2008,2007,2007,"Couple, with Kids",NA,"Rural"
"18","1500177122680100",2008,2005,2005,"Single",NA,"Urban 100000 to 199999"
"19","1500177122680101",2008,2007,2007,"Couple, with Kids",NA,"Urban 100000 to 199999"
"20","1500177125520100",2008,2002,2002,"Single Parent",NA,"Urban 10000 to 19999"
"21","1500339012180100",2008,1994,1994,"Single",NA,"Urban 50000 to 99999"
"22","1500339023850100",2008,2006,NA,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"23","1500339057530100",2008,1993,1993,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"24","1500339121140100",2008,2000,2000,"Couple, with Kids",NA,"Urban 50000 to 99999"
"25","1500443001240100",2008,1964,1964,"Single Parent",NA,"Urban 50000 to 99999"
"26","1500443034710100",2008,1959,1996,"Single",NA,"Urban 50000 to 99999"
"27","1500443051770100",2008,1992,1992,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"28","1500443051770101",2008,2002,2007,"Couple, No kids",NA,"Urban 200000 to 1999999"
"29","1500443101960100",2008,1953,1963,"Couple, No kids",NA,"Urban 50000 to 99999"
"30","1500443104200100",2008,1972,1972,"Couple, No kids",NA,"Rural"
"31","1500443112370100",2008,2004,2005,"Single Parent",NA,"Urban 200000 to 1999999"
"32","1500493013160100",2008,1988,1988,"Couple, with Kids",NA,"Urban 20000 to 49999"
"33","1500493053790100",2008,1984,1984,"Couple, No kids",NA,"Rural"
"34","1500493053790101",2008,2006,2006,"Couple, No kids",NA,"Rural"
"35","1500493063150100",2008,2002,2002,"Single",NA,"Rural"
"36","1500493113300100",2008,1957,1957,"Single",NA,"Urban 50000 to 99999"
"37","1500493123980100",2008,1994,1993,"Couple, with Kids",NA,"Rural"
"38","1500493123980101",2008,2007,2006,"Couple, No kids",NA,"Rural"
"39","1500493126410100",2008,1999,1999,"Single",NA,"Urban 2000 to 4999"
"40","1500496026420100",2008,2005,2005,"Couple, with Kids",NA,"Rural"
"41","1500496030630100",2008,1996,1996,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"42","1500496057410101",2008,2006,2006,"Single",NA,"Urban 100000 to 199999"
"43","1500496073230100",2008,2002,2002,"Single",NA,"Urban 200000 to 1999999"
"44","1500496099400100",2008,2007,2007,"Couple, No kids",NA,"Urban 200000 to 1999999"
"45","1500496122000100",2008,1960,1960,"Couple, No kids",NA,"Urban 200000 to 1999999"
"46","1500528014970100",2008,1986,1986,"Single",NA,"Urban 200000 to 1999999"
"47","1500528032540100",2008,2004,2004,"Single Parent",NA,"Urban 200000 to 1999999"
"48","1500528081230100",2008,2006,2006,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"49","1500528112370100",2008,2002,2002,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"50","1500528122000100",2008,1986,1986,"Couple, No kids",NA,"Urban 200000 to 1999999"
"51","1500528124040100",2008,1953,1953,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"52","1500597023470100",2008,2008,2008,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"53","1500597051770100",2008,1999,1999,"Single Parent",NA,"Urban 200000 to 1999999"
"54","1500597057590100",2008,2006,2006,"Single",NA,"Urban 200000 to 1999999"
"55","1500597057590101",2008,2005,2005,"Couple, No kids",NA,"Urban 200000 to 1999999"
"56","1500597091130100",2008,1983,1983,"Single",NA,"Urban 200000 to 1999999"
"57","1500597095380100",2008,2007,2007,"Couple, No kids",NA,"Rural"
"58","1500597102990100",2008,1964,1973,"Couple, No kids",NA,"Urban 200000 to 1999999"
"59","1500597121140100",2008,2002,2005,"Single Parent",NA,"Urban 200000 to 1999999"
"60","1500597125520100",2008,1964,1964,"Couple, No kids",NA,"Urban 200000 to 1999999"
"61","1500597126670100",2008,1977,1991,"Couple, No kids",NA,"Urban 200000 to 1999999"
"62","1500612001240100",2008,2003,2003,"Couple, with Kids",NA,"Rural"
"63","1500612078730100",2008,1983,1983,"Single",NA,"Urban 100000 to 199999"
"64","1500612106930100",2008,1987,1987,"Couple, with Kids",NA,"Rural"
"65","1500612124040100",2008,1981,1981,"Couple, No kids",NA,"Rural"
"66","1500707014970100",2008,1987,1987,"Couple, No kids",NA,"Paris"
"67","1500707057410100",2008,1982,1979,"Single",NA,"Paris"
"68","1500707101420100",2008,1989,1989,"Couple, with Kids",NA,"Paris"
