"","idmen","year","datent","myear","mstatus","move","location"
"1","1400010001240100",2007,2007,2007,"Couple, with Kids",NA,"Paris"
"2","1400010011670100",2007,2002,2001,"Couple, with Kids",NA,"Paris"
"3","1400010020540100",2007,1998,1997,"Couple, with Kids",NA,"Paris"
"4","1400010057530100",2007,1994,1994,"Couple, No kids",NA,"Paris"
"5","1400010057530101",2007,2006,2006,"Single",NA,"Paris"
"6","1400010073230100",2007,1997,1997,"Couple, with Kids",NA,"Paris"
"7","1400010073510100",2007,1998,1998,"Couple, with Kids",NA,"Paris"
"8","1400010101960100",2007,1980,1980,"Single",NA,"Paris"
"9","1400010106580100",2007,1987,1987,"Couple, with Kids",NA,"Paris"
"10","1400010106930100",2007,1973,1970,"Couple, No kids",NA,"Paris"
"11","1400010124060100",2007,2000,2000,"Single",NA,"Paris"
"12","1400020012620100",2007,2005,1983,"Couple, No kids",NA,"Rural"
"13","1400020043310100",2007,2001,2001,"Couple, with Kids",NA,"Urban 50000 to 99999"
"14","1400020058220100",2007,1990,1985,"Single",NA,"Rural"
"15","1400020091130100",2007,2005,2005,"Single",NA,"Urban 100000 to 199999"
"16","1400020101960100",2007,1998,1991,"Couple, No kids",NA,"Rural"
"17","1400020121140100",2007,2005,2005,"Single",NA,"Rural"
"18","1400149017390100",2007,1988,1988,"Couple, with Kids",NA,"Rural"
"19","1400149020060100",2007,1999,1999,"Single Parent",NA,"Urban 50000 to 99999"
"20","1400149055140100",2007,1990,1992,"Couple, with Kids",NA,"Rural"
"21","1400149108800100",2007,1958,1958,"Couple, No kids",NA,"Rural"
"22","1400149109060100",2007,1991,1990,"Couple, with Kids",NA,"Rural"
"23","1400149109060101",2007,2005,2005,"Couple, No kids",NA,"Rural"
"24","1400177001240100",2007,1981,2003,"Single",NA,"Urban 10000 to 19999"
"25","1400177053790100",2007,2003,2002,"Couple, No kids",NA,"Urban 100000 to 199999"
"26","1400339017070100",2007,1976,1976,"Couple, No kids",NA,"Urban 10000 to 19999"
"27","1400339031690100",2007,2005,2005,"Couple, with Kids",NA,"Urban 50000 to 99999"
"28","1400339043310100",2007,1996,1996,"Couple, with Kids",NA,"Urban 10000 to 19999"
"29","1400339057590100",2007,2000,2000,"Single",NA,"Urban 50000 to 99999"
"30","1400339095500100",2007,2002,2002,"Couple, No kids",NA,"Urban 200000 to 1999999"
"31","1400443012620100",2007,2003,2003,"Couple, No kids",NA,"Rural"
"32","1400443017070100",2007,1993,1993,"Couple, with Kids",NA,"Urban 50000 to 99999"
"33","1400443017390100",2007,1994,1994,"Couple, with Kids",NA,"Urban 50000 to 99999"
"34","1400443032540100",2007,2003,2003,"Couple, No kids",NA,"Urban 20000 to 49999"
"35","1400443067050100",2007,1973,NA,"Single",NA,"Urban 50000 to 99999"
"36","1400443088460100",2007,2004,2004,"Couple, with Kids",NA,"Rural"
"37","1400443094370100",2007,1970,1970,"Single",NA,"Urban 20000 to 49999"
"38","1400443101420100",2007,1979,1989,"Couple, No kids",NA,"Urban 50000 to 99999"
"39","1400443118640100",2007,2004,2004,"Couple, with Kids",NA,"Rural"
"40","1400493001090100",2007,2006,NA,"Couple, No kids",NA,"Rural"
"41","1400493012180100",2007,2004,2004,"Couple, with Kids",NA,"Urban 50000 to 99999"
"42","1400493043310100",2007,1981,1980,"Couple, with Kids",NA,"Urban 50000 to 99999"
"43","1400493051770100",2007,2006,2006,"Couple, No kids",NA,"Rural"
"44","1400493075690100",2007,2002,2002,"Couple, No kids",NA,"Urban 50000 to 99999"
"45","1400493101960100",2007,2005,2005,"Single",NA,"Urban 50000 to 99999"
"46","1400496001000100",2007,2001,2001,"Single",NA,"Urban 200000 to 1999999"
"47","1400496012620100",2007,2002,2002,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"48","1400496040580100",2007,1991,1989,"Couple, with Kids",NA,"Urban 2000 to 4999"
"49","1400496066630100",2007,2000,2000,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"50","1400496092030100",2007,2001,2000,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"51","1400496101420100",2007,1975,1975,"Couple, No kids",NA,"Urban 200000 to 1999999"
"52","1400496126670100",2007,2001,2001,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"53","1400528086440100",2007,2000,2000,"Couple, No kids",NA,"Urban 200000 to 1999999"
"54","1400597064920100",2007,1991,2006,"Single",NA,"Urban 200000 to 1999999"
"55","1400597084110100",2007,1967,1982,"Single",NA,"Urban 200000 to 1999999"
"56","1400597092030100",2007,1949,1949,"Single",NA,"Urban 200000 to 1999999"
"57","1400597101960100",2007,2003,2005,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"58","1400612001000100",2007,1983,2004,"Couple, No kids",NA,"Urban 50000 to 99999"
"59","1400612001000102",2007,2006,2006,"Single",NA,"Urban 100000 to 199999"
"60","1400612040580100",2007,2003,2004,"Single",NA,"Urban 20000 to 49999"
"61","1400612058220100",2007,1975,1975,"Couple, No kids",NA,"Urban 100000 to 199999"
"62","1400612058220101",2007,2007,2007,"Single",NA,"Urban 100000 to 199999"
"63","1400612067860100",2007,2001,2001,"Single",NA,"Urban 20000 to 49999"
"64","1400612122000100",2007,1979,1979,"Couple, No kids",NA,"Rural"
"65","1400612122680100",2007,2001,1998,"Couple, with Kids",NA,"Rural"
"66","1400707012930100",2007,1998,1998,"Couple, No kids",NA,"Paris"
"67","1400707015750100",2007,1990,1990,"Couple, with Kids",NA,"Paris"
"68","1400707082450100",2007,1984,1984,"Couple, with Kids",NA,"Paris"
"69","1400707102990101",2007,2004,2004,"Couple, with Kids",NA,"Paris"
"70","1400707110640100",2007,2002,2002,"Couple, No kids",NA,"Rural"
"71","1400742043310100",2007,1983,1982,"Couple, No kids",NA,"Urban 10000 to 19999"
"72","1400742086440100",2007,1974,1974,"Couple, No kids",NA,"Urban 20000 to 49999"
"73","1400742095380100",2007,2002,2002,"Couple, No kids",NA,"Urban 20000 to 49999"
"74","1400742115750100",2007,1990,1990,"Single Parent",NA,"Urban 10000 to 19999"
"75","1400772043310100",2007,2006,2006,"Couple, No kids",NA,"Urban 50000 to 99999"
"76","1400772051770100",2007,1993,1993,"Couple, with Kids",NA,"Urban 100000 to 199999"
"77","1400772084220100",2007,2001,2006,"Couple, with Kids",NA,"Rural"
"78","1400772122660100",2007,2005,1986,"Couple, with Kids",NA,"Rural"
"79","1400817017600100",2007,2000,2000,"Single Parent",NA,"Rural"
"80","1400817031690100",2007,1982,1982,"Single Parent",NA,"Rural"
"81","1400817040950100",2007,1998,1980,"Other",NA,"Rural"
"82","1400817053790100",2007,1991,1991,"Couple, with Kids",NA,"Urban 5000 to 9999"
"83","1400820027210100",2007,1990,1990,"Couple, with Kids",NA,"Urban 20000 to 49999"
"84","1400820059550100",2007,1992,1996,"Single Parent",NA,"Urban 50000 to 99999"
"85","1400820078730100",2007,2007,2006,"Couple, with Kids",NA,"Urban 20000 to 49999"
"86","1400820108800100",2007,2001,2001,"Couple, with Kids",NA,"Urban 10000 to 19999"
"87","1400820112370100",2007,2004,2004,"Couple, No kids",NA,"Urban 2000 to 4999"
"88","1400896026420100",2007,1977,1977,"Couple, No kids",NA,"Paris"
"89","1400896039590100",2007,2006,2006,"Single Parent",NA,"Paris"
"90","1400896043310100",2007,1975,2004,"Couple, with Kids",NA,"Paris"
"91","1400896106580100",2007,1985,1985,"Couple, No kids",NA,"Paris"
"92","1400896106580200",2007,1985,1985,"Single",NA,"Paris"
"93","1400896106580300",2007,2000,2000,"Single",NA,"Paris"
"94","1400896121140100",2007,1974,1974,"Single",NA,"Paris"
"95","1400896125520100",2007,1998,1984,"Single",NA,"Paris"
"96","1400898001240100",2007,1984,1983,"Couple, with Kids",NA,"Rural"
"97","1400898012620100",2007,1977,1981,"Single",NA,"Rural"
"98","1400898064920100",2007,1993,1992,"Couple, No kids",NA,"Urban 200000 to 1999999"
"99","1400898087500100",2007,1961,1961,"Single",NA,"Urban 200000 to 1999999"
"100","1400898103840100",2007,2005,2005,"Couple, with Kids",NA,NA
"101","1400913013160100",2007,1977,2002,"Couple, No kids",NA,"Rural"
"102","1400913017390100",2007,1984,2001,"Couple, No kids",NA,"Rural"
"103","1400913039590100",2007,2002,2002,"Couple, with Kids",NA,"Rural"
"104","1400913057590100",2007,2002,2002,"Couple, with Kids",NA,"Rural"
"105","1400913086440100",2007,2001,1998,"Single",NA,"Rural"
"106","1400913109060100",2007,2003,2003,"Couple, with Kids",NA,"Rural"
"107","1401013051650100",2007,1999,1999,"Couple, with Kids",NA,"Rural"
"108","1401013067860100",2007,1988,1987,"Couple, with Kids",NA,"Urban 5000 to 9999"
"109","1401013075690100",2007,1990,1989,"Couple, No kids",NA,"Urban 50000 to 99999"
"110","1401013124060100",2007,1986,1986,"Couple, No kids",NA,"Urban 5000 to 9999"
"111","1401013125520100",2007,1983,1983,"Couple, with Kids",NA,"Urban 50000 to 99999"
"112","1401042012930100",2007,2006,2006,"Couple, with Kids",NA,"Rural"
"113","1401042013160100",2007,2000,2000,"Single",NA,"Rural"
"114","1401042020540100",2007,1984,1984,"Couple, with Kids",NA,"Rural"
"115","1401042040950100",2007,1981,2001,"Couple, with Kids",NA,"Rural"
"116","1401042040950101",2007,2006,2006,"Couple, No kids",NA,"Urban 2000 to 4999"
"117","1401042045130100",2007,1993,1991,"Couple, No kids",NA,"Urban 2000 to 4999"
"118","1401042057590100",2007,1966,1994,"Other",NA,"Rural"
"119","1401042101960100",2007,1988,1994,"Couple, with Kids",NA,"Rural"
