"","idmen","year","datent","myear","mstatus","move","location"
"1","1200010040580100",2005,2001,2001,"Single Parent",NA,"Paris"
"2","1200010066630100",2005,2005,2005,"Couple, No kids",NA,"Paris"
"3","1200010082450100",2005,1957,1957,"Single",NA,"Paris"
"4","1200010086440100",2005,2001,2001,"Couple, No kids",NA,"Paris"
"5","1200010102990100",2005,1990,1990,"Single Parent",NA,"Paris"
"6","1200010118450100",2005,2000,2000,"Couple, No kids",NA,"Paris"
"7","1200020012930100",2005,1948,1988,"Other",NA,"Rural"
"8","1200020017390100",2005,1979,1979,"Single",NA,"Rural"
"9","1200020026420100",2005,1984,1981,"Other",NA,"Rural"
"10","1200020045130100",2005,2001,2001,"Single Parent",NA,"Urban 10000 to 19999"
"11","1200020094370100",2005,1998,1998,"Couple, with Kids",NA,"Urban 50000 to 99999"
"12","1200020118450100",2005,1925,1973,"Single",NA,"Rural"
"13","1200020122680100",2005,2002,2002,"Couple, with Kids",NA,"Urban 10000 to 19999"
"14","1200149012930100",2005,1993,1992,"Couple, with Kids",NA,"Rural"
"15","1200149034710100",2005,1971,1968,"Single",NA,"Rural"
"16","1200149057530100",2005,1976,1996,"Couple, No kids",NA,"Rural"
"17","1200149073620100",2005,1985,1978,"Single",NA,"Rural"
"18","1200149099400100",2005,2004,2004,"Couple, No kids",NA,"Urban 2000 to 4999"
"19","1200177012620100",2005,1988,1988,"Couple, No kids",NA,"Urban 100000 to 199999"
"20","1200177012620101",2005,2005,2005,"Couple, No kids",NA,"Urban 100000 to 199999"
"21","1200177012620102",2005,2004,2004,"Couple, No kids",NA,"Urban 100000 to 199999"
"22","1200177012930100",2005,1996,1996,"Couple, No kids",NA,"Urban 10000 to 19999"
"23","1200177015750100",2005,1999,1999,"Single",NA,"Urban 10000 to 19999"
"24","1200177023850100",2005,1999,1999,"Single",NA,"Urban 10000 to 19999"
"25","1200177087500100",2005,1994,1994,"Couple, with Kids",NA,"Urban 100000 to 199999"
"26","1200177102990100",2005,1975,1974,"Couple, No kids",NA,"Urban 2000 to 4999"
"27","1200339020540100",2005,1992,1992,"Couple, with Kids",NA,"Urban 10000 to 19999"
"28","1200339026420100",2005,1966,1966,"Couple, No kids",NA,"Urban 20000 to 49999"
"29","1200339082030100",2005,1991,1991,"Couple, with Kids",NA,"Urban 10000 to 19999"
"30","1200339084110100",2005,1988,1988,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"31","1200339108800100",2005,1973,1973,"Single",NA,"Urban 10000 to 19999"
"32","1200339108800101",2005,2005,2005,"Couple, with Kids",NA,"Urban 10000 to 19999"
"33","1200339115750100",2005,2005,2005,"Couple, with Kids",NA,"Urban 50000 to 99999"
"34","1200443018040100",2005,1988,1988,"Couple, No kids",NA,"Rural"
"35","1200443057410100",2005,1977,1976,"Couple, No kids",NA,"Urban 20000 to 49999"
"36","1200443078730100",2005,1986,1986,"Single",NA,"Urban 50000 to 99999"
"37","1200443095500100",2005,2003,2003,"Single",NA,"Urban 50000 to 99999"
"38","1200493010270100",2005,2004,2004,"Couple, with Kids",NA,"Rural"
"39","1200493023850100",2005,1995,1995,"Couple, with Kids",NA,"Rural"
"40","1200493044120100",2005,1978,1978,"Single",NA,"Rural"
"41","1200493052310100",2005,2003,2003,"Single",NA,"Urban 2000 to 4999"
"42","1200493089680100",2005,2003,2003,"Single",NA,"Urban 20000 to 49999"
"43","1200493106580100",2005,2003,2003,"Single Parent",NA,"Urban 50000 to 99999"
"44","1200496020060100",2005,1954,1964,"Single",NA,"Urban 2000 to 4999"
"45","1200496034710100",2005,2003,2003,"Single",NA,"Urban 200000 to 1999999"
"46","1200496039370100",2005,1956,1956,"Single",NA,"Urban 200000 to 1999999"
"47","1200496078730100",2005,1991,1991,"Other",NA,"Urban 200000 to 1999999"
"48","1200496099390100",2005,1984,1984,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"49","1200496101960100",2005,2002,2000,"Couple, No kids",NA,"Urban 200000 to 1999999"
"50","1200496122680100",2005,1995,1995,"Couple, No kids",NA,"Urban 200000 to 1999999"
"51","1200528013160100",2005,2003,2003,"Single",NA,"Urban 200000 to 1999999"
"52","1200528017070100",2005,2005,2005,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"53","1200528039590100",2005,1961,1961,"Single",NA,"Urban 200000 to 1999999"
"54","1200528052310100",2005,1975,1975,"Couple, No kids",NA,"Urban 200000 to 1999999"
"55","1200528058220100",2005,1999,1999,"Single Parent",NA,"Urban 200000 to 1999999"
"56","1200528122680100",2005,2003,2003,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"57","1200597020540100",2005,1974,1999,"Couple, No kids",NA,"Urban 200000 to 1999999"
"58","1200597020540101",2005,2004,2004,"Couple, No kids",NA,"Urban 200000 to 1999999"
"59","1200597030630100",2005,2001,2001,"Couple, No kids",NA,"Urban 200000 to 1999999"
"60","1200597057530100",2005,2005,2004,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"61","1200597073510100",2005,1993,1993,"Single",NA,"Urban 200000 to 1999999"
"62","1200597103840100",2005,1991,1992,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"63","1200597118450100",2005,2004,2004,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"64","1200597123980100",2005,1992,1992,"Single Parent",NA,"Urban 200000 to 1999999"
"65","1200612016060100",2005,1992,1990,"Couple, No kids",NA,"Urban 100000 to 199999"
"66","1200612051020100",2005,2005,2005,"Couple, with Kids",NA,"Urban 100000 to 199999"
"67","1200612051650100",2005,1995,1989,"Other",NA,"Rural"
"68","1200612053790100",2005,1995,1995,"Single Parent",NA,"Urban 50000 to 99999"
"69","1200612095500100",2005,1998,1998,"Couple, with Kids",NA,"Rural"
"70","1200707027210100",2005,1975,1995,"Couple, No kids",NA,"Paris"
"71","1200707039590100",2005,2001,2001,"Couple, with Kids",NA,"Rural"
"72","1200707042350100",2005,1994,1994,"Single Parent",NA,"Paris"
"73","1200707081230100",2005,1992,1991,"Couple, with Kids",NA,"Rural"
"74","1200707099390100",2005,1973,1973,"Couple, No kids",NA,"Paris"
"75","1200742020060100",2005,2002,2002,"Single",NA,"Urban 10000 to 19999"
"76","1200742020540100",2005,2004,2004,"Couple, with Kids",NA,"Urban 10000 to 19999"
"77","1200742067860100",2005,1965,1965,"Couple, No kids",NA,"Urban 10000 to 19999"
"78","1200742109060100",2005,1972,1972,"Couple, No kids",NA,"Urban 5000 to 9999"
"79","1200742117610100",2005,1945,NA,"Single",NA,"Urban 5000 to 9999"
"80","1200742126670100",2005,2003,2003,"Couple, with Kids",NA,"Urban 10000 to 19999"
"81","1200772012620100",2005,1953,1973,"Single",NA,"Urban 100000 to 199999"
"82","1200772023850100",2005,1991,1980,"Couple, No kids",NA,"Rural"
"83","1200772034710100",2005,2003,2002,"Couple, with Kids",NA,"Urban 50000 to 99999"
