"","idmen","year","datent","myear","mstatus","move","location"
"1","2205464014970100",2015,2011,NA,"Couple, with Kids",1,"Paris"
"2","2205464099390100",2015,2004,NA,"Single",1,"Paris"
"3","2205464101420100",2015,1981,NA,"Single",1,"Paris"
"4","2205464095500100",2015,1996,NA,"Couple, with Kids",1,"Paris"
"5","2205464104200100",2015,2007,NA,"Single",1,"Paris"
"6","2205464051650100",2015,2014,NA,"Couple, No kids",2,"Paris"
"7","2205464044120100",2015,2012,NA,"Couple, No kids",1,"Paris"
"8","2205464118740100",2015,2011,NA,"Single",1,"Paris"
"9","2207811067860100",2015,1998,NA,"Couple, with Kids",1,"Paris"
"10","2207811017600100",2015,2003,NA,"Single",1,"Paris"
"11","2207811016060101",2015,1993,NA,"Couple, with Kids",1,"Urban 5000 to 9999"
"12","2207811082030100",2015,2006,NA,"Single Parent",1,"Paris"
"13","2207811017070100",2015,1985,NA,"Couple, No kids",1,"Paris"
"14","2207811055140100",2015,1978,NA,"Couple, No kids",1,"Urban 2000 to 4999"
"15","2207811106580100",2015,1992,NA,"Couple, with Kids",1,"Urban 2000 to 4999"
"16","2207811117610100",2015,2007,NA,"Couple, No kids",1,"Urban 10000 to 19999"
"17","2207811095500100",2015,2003,NA,"Couple, with Kids",1,"Paris"
"18","2207811118640100",2015,1995,NA,"Couple, with Kids",1,"Paris"
"19","2207811059550100",2015,1997,NA,"Couple, No kids",1,"Paris"
"20","2207811045130100",2015,1990,NA,"Couple, No kids",1,"Paris"
"21","2207811045130101",2015,2014,NA,"Couple, No kids",2,"Paris"
"22","2207811039590100",2015,2006,NA,"Couple, with Kids",1,"Paris"
"23","2208484033220100",2015,1986,NA,"Single",1,"Paris"
"24","2208484089680100",2015,2004,NA,"Couple, No kids",1,"Paris"
"25","2208484040580100",2015,2006,NA,"Couple, with Kids",1,"Paris"
"26","2208484043310100",2015,2008,NA,"Single",1,"Paris"
"27","2208484101960100",2015,2010,NA,"Couple, with Kids",1,"Paris"
"28","2208484115750100",2015,1995,NA,"Single Parent",1,"Paris"
"29","2208484092030100",2015,2006,NA,"Single",1,"Paris"
"30","2208484092030101",2015,2014,NA,"Single Parent",NA,"Paris"
"31","2208484124060100",2015,1993,NA,"Single",1,"Paris"
"32","2208484106580100",2015,1987,NA,"Couple, No kids",1,"Paris"
"33","2208484109060100",2015,1967,NA,"Single",1,"Paris"
"34","2208484095500100",2015,1995,NA,"Couple, with Kids",1,"Paris"
"35","2208484095380100",2015,1997,NA,"Couple, with Kids",1,"Paris"
"36","2208484086440100",2015,2000,NA,"Couple, with Kids",1,"Paris"
"37","2208484106930100",2015,1967,NA,"Single",1,"Paris"
"38","2208484057530100",2015,1975,NA,"Single",1,"Paris"
"39","2208484110640100",2015,1988,NA,"Single",1,"Paris"
"40","2210069032540100",2015,2010,NA,"Couple, with Kids",1,"Paris"
"41","2210069043310100",2015,1992,NA,"Single",1,"Paris"
"42","2210069082030100",2015,2010,NA,"Couple, with Kids",1,"Urban 10000 to 19999"
"43","2210069075690100",2015,1974,NA,"Single",1,"Paris"
"44","2210069095500100",2015,1950,NA,"Single",1,"Paris"
"45","2210069073230100",2015,1978,NA,"Couple, No kids",1,"Paris"
"46","2210069040950100",2015,1999,NA,"Couple, with Kids",1,"Paris"
