"","idmen","year","datent","myear","mstatus","move","location"
"1","1800010034710100",2011,1987,1987,"Couple, with Kids",NA,"Paris"
"2","1800010034710101",2011,2011,2010,"Couple, No kids",NA,"Paris"
"3","1800010109060100",2011,1973,1973,"Single",NA,"Paris"
"4","1800010117610100",2011,2007,2007,"Single",NA,"Paris"
"5","1800020040580100",2011,2003,1997,"Couple, No kids",NA,"Urban 50000 to 99999"
"6","1800020088460100",2011,2006,2006,"Single",NA,"Urban 10000 to 19999"
"7","1800149059260100",2011,1982,1982,"Couple, No kids",NA,"Rural"
"8","1800149102990100",2011,1981,1980,"Couple, No kids",NA,"Rural"
"9","1800149102990102",2011,2009,2009,"Couple, No kids",NA,"Rural"
"10","1800177010270100",2011,1981,1981,"Couple, No kids",NA,"Urban 10000 to 19999"
"11","1800177109060100",2011,2000,1999,"Single",NA,"Urban 10000 to 19999"
"12","1800177117610100",2011,1983,1983,"Couple, No kids",NA,"Urban 10000 to 19999"
"13","1800177117610300",2011,2011,2011,"Couple, No kids",NA,"Rural"
"14","1800177118740100",2011,1947,1976,"Single",NA,"Urban 100000 to 199999"
"15","1800339051770100",2011,2001,2001,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"16","1800339109060100",2011,2009,2009,"Couple, No kids",NA,"Urban 2000 to 4999"
"17","1800339122000100",2011,2008,2008,"Couple, No kids",NA,"Urban 200000 to 1999999"
"18","1800443051650100",2011,1980,1985,"Couple, with Kids",NA,"Rural"
"19","1800443053790100",2011,1985,1982,"Couple, with Kids",NA,"Rural"
"20","1800443102990100",2011,1997,1997,"Single",NA,"Urban 20000 to 49999"
"21","1800443114960100",2011,1984,1984,"Couple, No kids",NA,"Rural"
"22","1800493012620100",2011,1949,1952,"Single",NA,"Rural"
"23","1800493020540100",2011,1994,1994,"Single",NA,"Urban 20000 to 49999"
"24","1800493042350100",2011,2006,2006,"Couple, No kids",NA,"Urban 50000 to 99999"
"25","1800493078730100",2011,2010,2011,"Single",NA,"Urban 50000 to 99999"
"26","1800496032540100",2011,2008,2002,"Single",NA,"Rural"
"27","1800496032540101",2011,2010,2010,"Single Parent",NA,"Urban 10000 to 19999"
"28","1800496043310100",2011,2002,2002,"Couple, with Kids",NA,"Urban 2000 to 4999"
"29","1800496064920100",2011,1982,1986,"Single",NA,"Urban 200000 to 1999999"
"30","1800496075690100",2011,2005,2005,"Couple, with Kids",NA,"Rural"
"31","1800496084110100",2011,2000,2009,"Single",NA,"Urban 200000 to 1999999"
"32","1800496087500100",2011,1979,1988,"Couple, No kids",NA,"Urban 200000 to 1999999"
"33","1800528020060100",2011,1967,2005,"Single",NA,"Urban 200000 to 1999999"
"34","1800597016060100",2011,1985,1985,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"35","1800597044120100",2011,2009,2008,"Single",NA,"Rural"
"36","1800597086440100",2011,2004,NA,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"37","1800597117610100",2011,2004,2004,"Couple, No kids",NA,"Rural"
"38","1800612023470100",2011,2010,2010,"Single",NA,"Urban 2000 to 4999"
