"","idmen","year","datent","myear","mstatus","move","location"
"1","1600010012180100",2009,1987,1987,"Couple, No kids",NA,"Paris"
"2","1600010012180101",2009,2006,2006,"Couple, with Kids",NA,"Paris"
"3","1600010042000100",2009,1994,2004,"Couple, with Kids",NA,"Paris"
"4","1600010059550100",2009,1993,NA,"Couple, No kids",NA,"Paris"
"5","1600010059550101",2009,2007,2007,"Couple, No kids",NA,"Paris"
"6","1600010084110100",2009,2007,2007,"Couple, with Kids",NA,"Paris"
"7","1600010087500100",2009,1997,2007,"Single Parent",NA,"Paris"
"8","1600010126670100",2009,2005,2005,"Couple, with Kids",NA,"Paris"
"9","1600020012180100",2009,1981,1974,"Single",NA,"Rural"
"10","1600020075690100",2009,1949,1958,"Single Parent",NA,"Rural"
"11","1600020095380100",2009,1984,1984,"Couple, with Kids",NA,"Urban 10000 to 19999"
"12","1600020095500100",2009,2008,2008,"Couple, with Kids",NA,"Urban 2000 to 4999"
"13","1600020106930100",2009,2009,2009,"Couple, No kids",NA,"Urban 20000 to 49999"
"14","1600149012620100",2009,1992,1992,"Couple, No kids",NA,"Rural"
"15","1600149025180100",2009,2006,1980,"Couple, No kids",NA,"Rural"
"16","1600149067050100",2009,1971,1971,"Couple, No kids",NA,"Rural"
"17","1600149082450100",2009,1966,1972,"Single",NA,"Rural"
"18","1600149089680100",2009,2002,2002,"Couple, with Kids",NA,"Rural"
"19","1600177059550100",2009,1995,1981,"Single",NA,"Urban 10000 to 19999"
"20","1600339016060100",2009,2000,2000,"Couple, with Kids",NA,"Urban 10000 to 19999"
"21","1600339017390100",2009,2006,2006,"Couple, with Kids",NA,"Urban 50000 to 99999"
"22","1600339017390101",2009,2008,2008,"Couple, No kids",NA,"Urban 50000 to 99999"
"23","1600339059260100",2009,2003,2003,"Single Parent",NA,"Urban 200000 to 1999999"
"24","1600443017600100",2009,1985,1985,"Couple, No kids",NA,"Urban 20000 to 49999"
"25","1600443039370100",2009,1993,1993,"Couple, with Kids",NA,"Urban 200000 to 1999999"
