"","idind","idmen","year","empstat","respondent","profession","gender","age","wage"
"1","1120001001293010001","1200010012930100",2004,"Employed",1,"67","Male",31,19187
"2","1120001004058010001","1200010040580100",2004,"Employed",1,"56","Female",30,11586
"3","1120001004058010002","1200010040580100",2004,"Inactive",0,"","Female",9,NA
"4","1120001006663010001","1200010066630100",2004,"Employed",1,"38","Male",31,44656
"5","1120001006663010002","1200010066630100",2004,"Employed",0,"45","Female",27,20413
"6","1120001008245010001","1200010082450100",2004,"Retired",1,"","Female",89,0
"7","1120001008644010001","1200010086440100",2004,"Employed",1,"34","Male",36,30702
"8","1120001008644010002","1200010086440100",2004,"Employed",0,"42","Female",34,24650
"9","1120001010299010001","1200010102990100",2004,"Employed",1,"46","Female",40,29604
"10","1120001010299010002","1200010102990100",2004,"Inactive",0,"","Female",15,NA
"11","1120001011845010001","1200010118450100",2004,"Employed",1,"37","Male",54,39851
"12","1120001011845010002","1200010118450100",2004,"Employed",0,"54","Female",54,20422
"13","1120002001293010001","1200020012930100",2004,"Employed",1,"11","Male",56,0
"14","1120002001293010002","1200020012930100",2004,"Employed",0,"11","Female",51,0
"15","1120002001293010003","1200020012930100",2004,"Retired",0,"","Female",81,0
"16","1120002001293010004","1200020012930100",2004,"Employed",0,"63","Male",49,19372
"17","1120002001739010001","1200020017390100",2004,"Employed",1,"11","Male",51,0
"18","1120002002642010001","1200020026420100",2004,"Employed",1,"11","Male",46,0
"19","1120002002642010002","1200020026420100",2004,"Employed",0,"11","Male",38,0
"20","1120002004513010001","1200020045130100",2004,"Employed",1,"34","Female",54,46215
"21","1120002004513010002","1200020045130100",2004,"Inactive",0,"","Male",16,0
"22","1120002009437010001","1200020094370100",2004,"Employed",1,"46","Male",40,12184
"23","1120002009437010002","1200020094370100",2004,"Employed",0,"34","Female",38,32234
"24","1120002009437010003","1200020094370100",2004,"Inactive",0,"","Male",6,NA
"25","1120002009437010004","1200020094370100",2004,"Inactive",0,"","Female",4,NA
"26","1120002011845010001","1200020118450100",2004,"Retired",1,"","Male",79,0
"27","1120002012268010001","1200020122680100",2004,"Employed",1,"45","Male",29,22630
"28","1120002012268010002","1200020122680100",2004,"Inactive",0,"","Female",31,0
"29","1120002012268010003","1200020122680100",2004,"Inactive",0,"","Female",3,NA
"30","1120014901293010001","1200149012930100",2004,"Employed",1,"46","Male",41,26673
"31","1120014901293010002","1200149012930100",2004,"Employed",0,"55","Female",35,21624
"32","1120014901293010003","1200149012930100",2004,"Inactive",0,"","Female",13,NA
"33","1120014901293010004","1200149012930100",2004,"Inactive",0,"","Female",8,NA
"34","1120014903471010001","1200149034710100",2004,"Retired",1,"","Female",68,0
"35","1120014905753010001","1200149057530100",2004,"Retired",1,"","Male",74,0
"36","1120014905753010002","1200149057530100",2004,"Retired",0,"","Female",75,0
"37","1120014907362010001","1200149073620100",2004,"Retired",1,"","Male",73,0
"38","1120014909940010001","1200149099400100",2004,"Retired",1,"","Female",50,0
"39","1120014909940010002","1200149099400100",2004,"Unemployed",0,"","Male",40,0
"40","1120014911864010001","1200149118640100",2004,"Retired",1,"","Male",63,0
"41","1120014911864010002","1200149118640100",2004,"Retired",0,"","Female",65,0
"42","1120014911864010003","1200149118640100",2004,"Inactive",0,"","Male",15,NA
"43","1120017701262010001","1200177012620100",2004,"Employed",1,"48","Male",55,25906
"44","1120017701262010002","1200177012620100",2004,"Employed",0,"54","Female",53,16830
"45","1120017701262010003","1200177012620100",2004,"Unemployed",0,"","Male",26,3067
"46","1120017701262010004","1200177012620100",2004,"Employed",0,"54","Female",30,8753
"47","1120017701293010001","1200177012930100",2004,"Retired",1,"","Male",69,0
"48","1120017701293010002","1200177012930100",2004,"Retired",0,"","Female",69,0
"49","1120017701575010001","1200177015750100",2004,"Employed",1,"52","Male",46,35445
"50","1120017702385010001","1200177023850100",2004,"Retired",1,"","Female",79,0
"51","1120017708411010001","1200177084110100",2004,"Employed",1,"56","Female",21,5223
"52","1120017708750010001","1200177087500100",2004,"Inactive",1,"","Female",34,0
"53","1120017708750010002","1200177087500100",2004,"Inactive",0,"","Female",14,NA
"54","1120017708750010003","1200177087500100",2004,"Inactive",0,"","Female",10,NA
