"","idind","idmen","year","empstat","respondent","profession","gender","age","wage"
"1","1300546410299010001","3005464102990100",2017,"Inactive",1,NA,"Male",52,0
"2","1310546401167010001","3105464011670100",2017,"Employed",1,"35","Male",48,0
"3","1310546401167010002","3105464011670100",2017,"Employed",0,NA,"Female",41,29790
"4","1310546401167010003","3105464011670100",2017,"Inactive",0,NA,"Male",4,NA
"5","1300546406786010001","3005464067860100",2017,"Employed",1,"33","Female",59,96231
"6","1240546407362010001","2405464073620100",2017,"Retired",1,NA,"Male",74,0
"7","1240546407362010002","2405464073620100",2017,"Retired",0,NA,"Female",69,0
"8","1300546407362010001","3005464073620100",2017,"Employed",1,"46","Male",50,0
"9","1300546407362010002","3005464073620100",2017,"Inactive",0,NA,"Female",14,NA
"10","1300546407362010003","3005464073620100",2017,"Inactive",0,NA,"Male",10,NA
"11","1240546403254010001","2405464032540100",2017,"Employed",1,"38","Male",29,68496
"12","2240546403254010003","2405464032540100",2017,"Employed",0,"46","Female",28,38892
"13","1320546403254010001","3205464032540100",2017,"Retired",1,NA,"Male",85,0
"14","1260546410880010001","2605464108800100",2017,"Employed",1,"38","Female",31,37097
"15","2260546410880010002","2605464108800100",2017,"Unemployed",0,NA,"Male",32,40837
"16","1260546410880010002","2605464108800100",2017,"Inactive",0,NA,"Male",3,NA
"17","1260546410880010003","2605464108800100",2017,"Inactive",0,NA,"Male",1,NA
"18","1300546410880010001","3005464108800100",2017,"Employed",1,"33","Male",51,62231
"19","1300546410880010002","3005464108800100",2017,"Unemployed",0,NA,"Female",49,1670
"20","1300546410880010003","3005464108800100",2017,"Inactive",0,NA,"Female",22,0
"21","1300546410880010004","3005464108800100",2017,"Inactive",0,NA,"Female",18,0
"22","1320546410880010001","3205464108800100",2017,"Retired",1,NA,"Male",82,0
"23","1320546410880010002","3205464108800100",2017,"Retired",0,NA,"Female",84,0
"24","1280546401760010001","2805464017600100",2017,"Unemployed",1,NA,"Female",60,0
"25","1310546401760010001","3105464017600100",2017,"Inactive",1,NA,"Male",23,1296
"26","1320546401760010001","3205464017600100",2017,"Inactive",1,NA,"Female",24,20193
"27","1320546401760010002","3205464017600100",2017,"Inactive",0,NA,"Male",21,2811
"28","1300546408968010001","3005464089680100",2017,"Employed",1,"34","Male",35,75750
"29","1300546408968010002","3005464089680100",2017,"Unemployed",0,NA,"Female",33,32103
"30","1300546408968010003","3005464089680100",2017,"Inactive",0,NA,"Female",0,NA
"31","1320546408968010001","3205464089680100",2017,"Unemployed",1,NA,"Female",47,51219
"32","1320546408968010002","3205464089680100",2017,"Employed",0,"37","Male",47,240668
"33","1320546408968010003","3205464089680100",2017,"Inactive",0,NA,"Female",19,0
"34","1320546408968010004","3205464089680100",2017,"Inactive",0,NA,"Female",17,0
"35","1320546408968010005","3205464089680100",2017,"Inactive",0,NA,"Female",11,NA
"36","1310546404058010001","3105464040580100",2017,"Retired",1,NA,"Male",87,0
"37","1310546404058010002","3105464040580100",2017,"Retired",0,NA,"Female",87,0
