"","idmen","year","datent","myear","mstatus","move","location"
"1","1700010017390100",2010,1982,1982,"Couple, No kids",NA,"Paris"
"2","1700010114960101",2010,2005,2007,"Couple, with Kids",NA,"Paris"
"3","1700020014970100",2010,2008,2008,"Couple, with Kids",NA,"Rural"
"4","1700020014970101",2010,2006,2006,"Couple, with Kids",NA,"Urban 2000 to 4999"
"5","1700020044120100",2010,1991,1991,"Couple, No kids",NA,"Urban 10000 to 19999"
"6","1700020102990100",2010,2009,2009,"Couple, No kids",NA,"Urban 2000 to 4999"
"7","1700149017070100",2010,1986,1986,"Couple, with Kids",NA,"Urban 50000 to 99999"
"8","1700149033220100",2010,1972,1972,"Couple, No kids",NA,"Rural"
"9","1700149112370100",2010,1997,1997,"Couple, with Kids",NA,"Urban 2000 to 4999"
"10","1700149124040100",2010,2006,NA,"Single",NA,"Urban 2000 to 4999"
"11","1700177043310100",2010,1988,1988,"Couple, No kids",NA,"Urban 10000 to 19999"
"12","1700177043310101",2010,2008,2008,"Single Parent",NA,"Rural"
"13","1700177066630100",2010,1986,1986,"Couple, with Kids",NA,"Urban 100000 to 199999"
"14","1700177073230100",2010,2001,2001,"Single",NA,"Urban 10000 to 19999"
"15","1700177114960100",2010,1935,1953,"Single",NA,"Urban 10000 to 19999"
"16","1700339001000100",2010,2001,2001,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"17","1700339042000100",2010,2002,2002,"Single",NA,"Urban 200000 to 1999999"
"18","1700339075690100",2010,1963,1967,"Couple, No kids",NA,"Urban 200000 to 1999999"
"19","1700339086440100",2010,2004,2004,"Couple, No kids",NA,"Rural"
"20","1700339089680100",2010,2002,2002,"Couple, with Kids",NA,"Urban 10000 to 19999"
"21","1700443033220100",2010,2006,2006,"Couple, with Kids",NA,"Urban 20000 to 49999"
"22","1700443043310100",2010,2005,2005,"Couple, with Kids",NA,"Rural"
"23","1700443059260100",2010,1999,1999,"Couple, with Kids",NA,"Rural"
"24","1700443059550100",2010,1983,1983,"Couple, No kids",NA,"Rural"
"25","1700443059550101",2010,2006,2006,"Couple, with Kids",NA,"Rural"
"26","1700443089680100",2010,1978,1984,"Couple, with Kids",NA,"Urban 20000 to 49999"
"27","1700493059260100",2010,1988,1988,"Couple, with Kids",NA,"Urban 2000 to 4999"
"28","1700493099390100",2010,1982,1982,"Couple, No kids",NA,"Urban 50000 to 99999"
"29","1700496073620100",2010,2000,2000,"Single",NA,"Urban 2000 to 4999"
"30","1700496094370100",2010,1999,1998,"Couple, with Kids",NA,"Urban 2000 to 4999"
"31","1700496124060100",2010,1981,1981,"Couple, No kids",NA,"Urban 200000 to 1999999"
"32","1700496124060101",2010,2007,2008,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"33","1700528016060100",2010,1976,1986,"Couple, No kids",NA,"Urban 200000 to 1999999"
"34","1700528057590100",2010,1981,1981,"Couple, No kids",NA,"Urban 200000 to 1999999"
"35","1700528103840100",2010,1991,2009,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"36","1700528103840101",2010,2009,2009,"Other",NA,"Urban 200000 to 1999999"
"37","1700597013160100",2010,1966,1976,"Single",NA,"Urban 200000 to 1999999"
"38","1700597017600100",2010,1976,2001,"Couple, No kids",NA,"Urban 200000 to 1999999"
"39","1700597017600101",2010,2010,2010,"Single",NA,"Paris"
"40","1700597045130100",2010,1980,1980,"Single",NA,"Urban 200000 to 1999999"
"41","1700597089680100",2010,1986,1986,"Couple, No kids",NA,"Urban 200000 to 1999999"
"42","1700597104200101",2010,2008,2008,"Couple, No kids",NA,"Rural"
"43","1700597115750100",2010,2007,2007,"Couple, No kids",NA,"Urban 200000 to 1999999"
"44","1700612020060100",2010,1990,1985,"Couple, No kids",NA,"Urban 100000 to 199999"
"45","1700612025180100",2010,1992,1992,"Couple, with Kids",NA,"Rural"
"46","1700612084110100",2010,1992,1992,"Couple, with Kids",NA,"Rural"
"47","1700612108800100",2010,1998,1996,"Couple, No kids",NA,"Urban 20000 to 49999"
"48","1700612108800101",2010,2007,2007,"Couple, with Kids",NA,"Urban 20000 to 49999"
"49","1700612118740100",2010,1999,1999,"Single",NA,"Urban 50000 to 99999"
"50","1700707001000100",2010,2000,2000,"Other",NA,"Rural"
"51","1700707094370100",2010,1997,1997,"Single Parent",NA,"Paris"
"52","1700707094370101",2010,2006,2006,"Single",NA,"Paris"
"53","1700707103840100",2010,2008,2007,"Couple, No kids",NA,"Urban 2000 to 4999"
"54","1700707112370100",2010,1976,1986,"Couple, No kids",NA,"Rural"
"55","1700707112370101",2010,2009,2009,"Single",NA,"Urban 2000 to 4999"
