"","idmen","year","datent","myear","mstatus","move","location"
"1","1200010012930100",2004,2000,2000,"Single",NA,"Paris"
"2","1200010040580100",2004,2001,2001,"Single Parent",NA,"Paris"
"3","1200010066630100",2004,2000,2000,"Couple, No kids",NA,"Paris"
"4","1200010082450100",2004,1957,1957,"Single",NA,"Paris"
"5","1200010086440100",2004,2001,2001,"Couple, No kids",NA,"Paris"
"6","1200010102990100",2004,1990,1990,"Single Parent",NA,"Paris"
"7","1200010118450100",2004,2000,2000,"Couple, No kids",NA,"Paris"
"8","1200020012930100",2004,1948,1988,"Other",NA,"Rural"
"9","1200020017390100",2004,1979,1979,"Single",NA,"Rural"
"10","1200020026420100",2004,1984,1981,"Other",NA,"Rural"
"11","1200020045130100",2004,2001,2001,"Single Parent",NA,"Urban 10000 to 19999"
"12","1200020094370100",2004,1998,1998,"Couple, with Kids",NA,"Urban 50000 to 99999"
"13","1200020118450100",2004,1925,1973,"Single",NA,"Rural"
"14","1200020122680100",2004,2002,2002,"Couple, with Kids",NA,"Urban 10000 to 19999"
"15","1200149012930100",2004,1993,1992,"Couple, with Kids",NA,"Rural"
"16","1200149034710100",2004,1971,1968,"Single",NA,"Rural"
"17","1200149057530100",2004,1976,1996,"Couple, No kids",NA,"Rural"
"18","1200149073620100",2004,1985,1978,"Single",NA,"Rural"
"19","1200149099400100",2004,1996,NA,"Couple, No kids",NA,"Urban 2000 to 4999"
"20","1200149118640100",2004,1999,1999,"Other",NA,"Rural"
"21","1200177012620100",2004,1988,1988,"Couple, with Kids",NA,"Urban 100000 to 199999"
"22","1200177012930100",2004,1996,1996,"Couple, No kids",NA,"Urban 10000 to 19999"
"23","1200177015750100",2004,1999,1999,"Single",NA,"Urban 10000 to 19999"
"24","1200177023850100",2004,1999,1999,"Single",NA,"Urban 10000 to 19999"
"25","1200177084110100",2004,2003,2003,"Single",NA,"Urban 100000 to 199999"
"26","1200177087500100",2004,1994,1994,"Couple, with Kids",NA,"Urban 100000 to 199999"
"27","1200177102990100",2004,1992,1970,"Couple, No kids",NA,"Urban 2000 to 4999"
