"","idind","idmen","year","empstat","respondent","profession","gender","age","wage"
"1","1200546405822010001","2005464058220100",2013,"Employed",1,"46","Female",40,6410
"2","1200546410142010002","2005464101420100",2013,"Employed",0,"35","Female",37,31590
"3","1200546410142010003","2005464101420100",2013,"Inactive",0,NA,"Male",8,NA
"4","1200546410142010004","2005464101420100",2013,"Inactive",0,NA,"Female",6,NA
"5","1200546410142010001","2005464101420101",2013,"Employed",1,"38","Male",38,57500
"6","1200546412114010001","2005464121140100",2013,"Employed",1,"45","Male",59,51810
"7","1200546412114010004","2005464121140100",2013,"Retired",0,NA,"Female",58,0
"8","1200781110196010001","2007811101960100",2013,"Employed",1,"43","Male",47,13350
"9","2200781110196010004","2007811101960100",2013,"Unemployed",0,NA,"Female",46,28540
"10","1200781110906010001","2007811109060100",2013,"Retired",1,NA,"Male",71,0
"11","1200781110906010002","2007811109060100",2013,"Inactive",0,NA,"Female",60,0
"12","1200781101804010001","2007811018040100",2013,"Employed",1,"38","Male",43,44930
"13","1200781111874010001","2007811118740100",2013,"Employed",1,"21","Male",46,14470
"14","1200781111874010002","2007811118740100",2013,"Employed",0,"34","Female",47,52520
"15","1200781111874010003","2007811118740100",2013,"Inactive",0,"46","Male",22,11610
"16","1200781111874010004","2007811118740100",2013,"Inactive",0,NA,"Female",21,0
"17","1200781111874010005","2007811118740100",2013,"Inactive",0,NA,"Female",19,0
"18","1200781111874010006","2007811118740100",2013,"Inactive",0,NA,"Female",18,0
"19","1200781111874010007","2007811118740100",2013,"Inactive",0,NA,"Female",15,NA
"20","1200848404331010001","2008484043310100",2013,"Retired",1,NA,"Male",75,0
"21","1200848408245010001","2008484082450100",2013,"Employed",1,"52","Female",52,26090
"22","1200848408245010005","2008484082450100",2013,"Unemployed",0,NA,"Female",24,6110
"23","1200848408245010003","2008484082450101",2013,"Employed",0,"52","Female",30,16950
"24","1200848403169010001","2008484031690100",2013,"Employed",1,"23","Male",47,100400
"25","1200848403169010002","2008484031690100",2013,"Employed",0,"37","Female",43,74540
"26","1200848403169010003","2008484031690100",2013,"Inactive",0,NA,"Female",16,NA
"27","1200848403169010004","2008484031690100",2013,"Inactive",0,NA,"Female",14,NA
"28","1200848403169010005","2008484031690100",2013,"Inactive",0,NA,"Male",10,NA
"29","1200848403169010006","2008484031690100",2013,"Inactive",0,NA,"Female",3,NA
"30","1200848405822010001","2008484058220100",2013,"Inactive",1,NA,"Female",42,460
"31","1200848409550010001","2008484095500100",2013,"Employed",1,"35","Male",81,16310
"32","1200848406663010001","2008484066630100",2013,"Retired",1,NA,"Male",68,0
"33","1200848406663010002","2008484066630100",2013,"Retired",0,NA,"Female",69,930
"34","1200848406663010003","2008484066630100",2013,"Unemployed",0,NA,"Female",25,1330
"35","1200848406663010004","2008484066630100",2013,"Inactive",0,NA,"Male",21,0
"36","1200848406663010006","2008484066630100",2013,"Inactive",0,NA,"Male",3,NA
"37","1200848409940010003","2008484099400101",2013,"Employed",0,"54","Female",34,4510
"38","2200848409940010101","2008484099400101",2013,"Employed",1,"46","Male",47,35520
"39","2200848409940010102","2008484099400101",2013,"Inactive",0,NA,"Female",1,NA
"40","1201006912406010001","2010069124060100",2013,"Retired",1,NA,"Male",72,0
"41","1201006912406010002","2010069124060100",2013,"Retired",0,NA,"Female",68,0
"42","1201006910384010001","2010069103840100",2013,"Employed",1,"52","Female",58,22970
"43","1201006912268010001","2010069122680100",2013,"Employed",1,"37","Male",45,98890
"44","1201006912268010002","2010069122680100",2013,"Employed",0,NA,"Female",45,10690
"45","1201006912268010003","2010069122680100",2013,"Inactive",0,NA,"Male",16,0
"46","1201006912268010004","2010069122680100",2013,"Inactive",0,NA,"Female",14,NA
"47","1201006912268010005","2010069122680100",2013,"Inactive",0,NA,"Male",11,NA
"48","1201006912268010006","2010069122680100",2013,"Inactive",0,NA,"Female",8,NA
"49","1201006908644010001","2010069086440100",2013,"Retired",1,NA,"Female",62,500
"50","1201006908644010002","2010069086440100",2013,"Employed",0,"55","Male",26,15660
"51","1201006905379010001","2010069053790100",2013,"Employed",1,"43","Female",54,11880
"52","2201006905379010003","2010069053790100",2013,"Retired",0,NA,"Male",61,0
"53","1201006908123010001","2010069081230100",2013,"Employed",1,"43","Male",49,31220
"54","1201006903937010001","2010069039370100",2013,"Retired",1,NA,"Female",73,0
"55","1201006909940010001","2010069099400100",2013,"Employed",1,"33","Male",57,65860
