"","idmen","year","datent","myear","mstatus","move","location"
"1","2005464058220100",2013,2010,2010,"Single",NA,"Urban 10000 to 19999"
"2","2005464101420100",2013,2006,2011,"Single Parent",NA,"Urban 2000 to 4999"
"3","2005464101420101",2013,2009,2009,"Single",NA,"Paris"
"4","2005464121140100",2013,2002,2002,"Couple, No kids",NA,NA
"5","2007811101960100",2013,2011,2011,"Couple, No kids",NA,"Urban 50000 to 99999"
"6","2007811109060100",2013,2007,2007,"Couple, No kids",NA,"Urban 10000 to 19999"
"7","2007811018040100",2013,1996,1996,"Single",NA,"Paris"
"8","2007811118740100",2013,1999,1999,"Couple, with Kids",NA,"Paris"
"9","2008484043310100",2013,1983,1981,"Single",NA,"Paris"
"10","2008484082450100",2013,1994,1994,"Single Parent",NA,"Paris"
"11","2008484082450101",2013,2009,2009,"Single",NA,"Paris"
"12","2008484031690100",2013,2004,2004,"Couple, with Kids",NA,"Paris"
"13","2008484058220100",2013,1998,1998,"Single",NA,"Paris"
"14","2008484095500100",2013,1955,1970,"Single",NA,"Paris"
"15","2008484066630100",2013,2011,2010,"Other",NA,"Urban 50000 to 99999"
"16","2008484099400101",2013,2005,2007,"Couple, with Kids",NA,"Urban 5000 to 9999"
"17","2010069124060100",2013,2011,2011,"Couple, No kids",NA,"Urban 5000 to 9999"
"18","2010069103840100",2013,1990,1990,"Single",NA,"Paris"
"19","2010069122680100",2013,2006,2005,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"20","2010069086440100",2013,1993,1993,"Single Parent",NA,"Paris"
"21","2010069053790100",2013,2010,2010,"Couple, No kids",NA,"Urban 5000 to 9999"
"22","2010069081230100",2013,1999,1999,"Single",NA,"Paris"
"23","2010069039370100",2013,1998,1998,"Single",NA,"Paris"
"24","2010069099400100",2013,1983,1983,"Couple, No kids",NA,"Paris"
"25","2010069099400101",2013,2010,2010,"Couple, No kids",NA,"Paris"
"26","2010069099400102",2013,2012,2012,"Single",NA,"Paris"
"27","2010069112370100",2013,1994,1994,"Couple, with Kids",NA,"Paris"
"28","2002682032540100",2013,2001,2001,"Single",NA,"Rural"
"29","2002682017600100",2013,1974,1974,"Single",NA,"Urban 2000 to 4999"
"30","2002682089680100",2013,2006,2006,"Couple, with Kids",NA,"Rural"
"31","2002682020060100",2013,2010,2010,"Couple, with Kids",NA,"Rural"
"32","2002682051020100",2013,1996,1996,"Couple, No kids",NA,"Urban 10000 to 19999"
"33","2002682126670100",2013,1996,1993,"Couple, No kids",NA,"Urban 10000 to 19999"
"34","2002682124060100",2013,2001,2001,"Single",NA,"Urban 50000 to 99999"
"35","2002682103840100",2013,2012,2012,"Couple, with Kids",NA,"Urban 50000 to 99999"
"36","2002682034710100",2013,2000,1984,"Couple, No kids",NA,"Urban 50000 to 99999"
"37","2002682058220100",2013,1971,1971,"Couple, No kids",NA,"Paris"
"38","2002682057590100",2013,2010,2008,"Couple, with Kids",NA,"Rural"
"39","2002682001240101",2013,2012,NA,"Single",NA,"Paris"
"40","2002682121140100",2013,2006,2006,"Single",NA,"Urban 200000 to 1999999"
"41","2002682109060100",2013,2007,2007,"Couple, with Kids",NA,"Paris"
"42","2002682027210100",2013,2006,1992,"Couple, No kids",NA,"Urban 2000 to 4999"
"43","2002682095500100",2013,2005,2005,"Couple, with Kids",NA,"Rural"
"44","2002682114960100",2013,1990,1990,"Single",NA,"Rural"
"45","2002682010270100",2013,1991,1991,"Couple, with Kids",NA,"Rural"
"46","2002682042000100",2013,1963,1983,"Single",NA,"Urban 100000 to 199999"
"47","2002682104200100",2013,1990,2003,"Couple, No kids",NA,"Urban 100000 to 199999"
"48","2002682122680100",2013,2013,2013,"Single",NA,"Urban 20000 to 49999"
"49","2002682044120100",2013,1955,1960,"Single",NA,"Urban 2000 to 4999"
