"","idind","idmen","year","empstat","respondent","profession","gender","age","wage"
"1","1140001000124010001","1400010001240100",2007,"Unemployed",1,NA,"Male",49,0
"2","1140001000124010002","1400010001240100",2007,"Employed",0,"52","Female",49,22744
"3","1140001000124010003","1400010001240100",2007,"Inactive",0,NA,"Female",16,0
"4","1140001001167010001","1400010011670100",2007,"Employed",1,"21","Male",40,1243
"5","1140001001167010002","1400010011670100",2007,"Inactive",0,NA,"Female",38,0
"6","1140001001167010003","1400010011670100",2007,"Inactive",0,NA,"Male",15,NA
"7","1140001001167010004","1400010011670100",2007,"Inactive",0,NA,"Male",13,NA
"8","1140001002054010001","1400010020540100",2007,"Employed",1,"22","Male",57,0
"9","1140001002054010002","1400010020540100",2007,"Unemployed",0,NA,"Female",54,0
"10","1140001002054010003","1400010020540100",2007,"Inactive",0,NA,"Male",21,0
"11","1140001002054010004","1400010020540100",2007,"Inactive",0,NA,"Male",19,0
"12","1140001005753010001","1400010057530100",2007,"Retired",1,NA,"Male",71,0
"13","1140001005753010002","1400010057530100",2007,"Employed",0,"45","Female",63,19739
"14","1140001005753010003","1400010057530101",2007,"Employed",0,"38","Male",28,29561
"15","1140001007323010001","1400010073230100",2007,"Employed",1,"63","Male",51,20314
"16","1140001007323010002","1400010073230100",2007,"Inactive",0,NA,"Female",43,0
"17","1140001007323010003","1400010073230100",2007,"Inactive",0,NA,"Female",15,NA
"18","1140001007323010004","1400010073230100",2007,"Inactive",0,NA,"Male",13,NA
"19","1140001007323010005","1400010073230100",2007,"Inactive",0,NA,"Male",12,NA
"20","1140001007323010006","1400010073230100",2007,"Inactive",0,NA,"Male",6,NA
"21","1140001007351010001","1400010073510100",2007,"Employed",1,"46","Female",44,21677
"22","1140001007351010002","1400010073510100",2007,"Employed",0,"63","Male",49,17175
"23","1140001007351010003","1400010073510100",2007,"Employed",0,"65","Male",20,5238
"24","1140001007351010004","1400010073510100",2007,"Inactive",0,NA,"Male",13,NA
"25","1140001010196010001","1400010101960100",2007,"Retired",1,NA,"Female",81,0
"26","1140001010658010001","1400010106580100",2007,"Employed",1,"48","Male",51,28710
"27","1140001010658010002","1400010106580100",2007,"Employed",0,"54","Female",51,30177
"28","1140001010658010003","1400010106580100",2007,"Employed",0,"38","Male",23,13696
"29","1140001010658010004","1400010106580100",2007,"Inactive",0,NA,"Female",20,0
"30","1140001010693010001","1400010106930100",2007,"Retired",1,NA,"Male",72,0
"31","1140001010693010002","1400010106930100",2007,"Retired",0,NA,"Female",68,0
"32","1140001012406010001","1400010124060100",2007,"Unemployed",1,NA,"Female",30,99
"33","1140002001262010001","1400020012620100",2007,"Retired",1,NA,"Male",77,0
"34","1140002001262010002","1400020012620100",2007,"Retired",0,NA,"Female",70,0
"35","1140002004331010001","1400020043310100",2007,"Inactive",1,NA,"Female",37,0
"36","1140002004331010002","1400020043310100",2007,"Employed",0,"62","Male",33,10349
"37","1140002004331010003","1400020043310100",2007,"Inactive",0,NA,"Male",14,NA
"38","1140002004331010004","1400020043310100",2007,"Inactive",0,NA,"Male",11,NA
"39","1140002004331010005","1400020043310100",2007,"Inactive",0,NA,"Male",7,NA
"40","1140002005822010001","1400020058220100",2007,"Inactive",1,NA,"Male",58,0
"41","1140002009113010001","1400020091130100",2007,"Employed",1,"52","Female",26,23330
"42","1140002010196010001","1400020101960100",2007,"Retired",1,NA,"Male",62,0
"43","1140002010196010002","1400020101960100",2007,"Inactive",0,NA,"Female",58,0
"44","1140002012114010001","1400020121140100",2007,"Employed",1,"52","Male",41,25728
"45","1140014901739010001","1400149017390100",2007,"Employed",1,"47","Male",52,47698
"46","1140014901739010002","1400149017390100",2007,"Employed",0,"54","Female",49,22077
"47","1140014901739010003","1400149017390100",2007,"Inactive",0,NA,"Male",19,0
"48","1140014901739010004","1400149017390100",2007,"Inactive",0,NA,"Female",16,NA
"49","1140014902006010001","1400149020060100",2007,"Employed",1,"42","Male",51,20484
"50","1140014902006010002","1400149020060100",2007,"Inactive",0,NA,"Male",15,NA
"51","1140014905514010001","1400149055140100",2007,"Employed",1,"11","Male",44,0
"52","1140014905514010002","1400149055140100",2007,"Employed",0,"23","Female",42,47655
"53","1140014905514010003","1400149055140100",2007,"Employed",0,NA,"Female",15,NA
"54","1140014905514010004","1400149055140100",2007,"Inactive",0,NA,"Male",11,NA
"55","1140014910880010001","1400149108800100",2007,"Retired",1,NA,"Female",83,0
"56","1140014910880010002","1400149108800100",2007,"Retired",0,NA,"Male",87,0
"57","1140014910906010001","1400149109060100",2007,"Employed",1,"48","Male",50,20602
"58","1140014910906010002","1400149109060100",2007,"Employed",0,"54","Female",47,22171
"59","1140014910906010003","1400149109060101",2007,"Employed",0,"43","Female",21,5988
"60","1140014910906010004","1400149109060100",2007,"Inactive",0,NA,"Male",18,0
"61","1140017700124010001","1400177001240100",2007,"Employed",1,"55","Female",27,16286
"62","1140017705379010001","1400177053790100",2007,"Employed",1,"31","Male",59,0
"63","1140017705379010002","1400177053790100",2007,"Employed",0,"56","Female",54,3487
"64","1140033901707010001","1400339017070100",2007,"Retired",1,NA,"Male",63,0
"65","1140033901707010002","1400339017070100",2007,"Retired",0,NA,"Female",62,0
"66","1140033903169010001","1400339031690100",2007,"Employed",1,"48","Male",38,34426
"67","1140033903169010002","1400339031690100",2007,"Employed",0,"55","Female",34,161
"68","1140033903169010003","1400339031690100",2007,"Inactive",0,NA,"Male",7,NA
"69","1140033903169010004","1400339031690100",2007,"Inactive",0,NA,"Female",10,NA
"70","1140033904331010001","1400339043310100",2007,"Employed",1,"43","Female",40,26492
"71","1140033904331010002","1400339043310100",2007,"Employed",0,"53","Male",40,4419
"72","1140033904331010003","1400339043310100",2007,"Inactive",0,NA,"Male",14,NA
"73","1140033904331010004","1400339043310100",2007,"Inactive",0,NA,"Female",5,NA
"74","1140033905759010001","1400339057590100",2007,"Inactive",1,NA,"Male",36,0
"75","1140033909550010001","1400339095500100",2007,"Employed",1,"52","Female",58,11271
"76","1140033909550010002","1400339095500100",2007,"Inactive",0,NA,"Male",59,0
"77","1140044301262010001","1400443012620100",2007,"Employed",1,"21","Male",55,0
"78","1140044301262010002","1400443012620100",2007,"Inactive",0,NA,"Female",54,0
"79","1140044301707010001","1400443017070100",2007,"Employed",1,"47","Male",45,36289
"80","1140044301707010002","1400443017070100",2007,"Employed",0,"43","Female",44,28886
"81","1140044301707010003","1400443017070100",2007,"Inactive",0,NA,"Female",18,814
"82","1140044301707010004","1400443017070100",2007,"Inactive",0,NA,"Female",16,0
"83","1140044301707010005","1400443017070100",2007,"Inactive",0,NA,"Male",9,NA
"84","1140044301739010001","1400443017390100",2007,"Employed",1,"62","Male",51,19483
"85","1140044301739010002","1400443017390100",2007,"Employed",0,"56","Female",48,7212
"86","1140044301739010004","1400443017390100",2007,"Inactive",0,NA,"Male",16,NA
"87","1140044303254010001","1400443032540100",2007,"Retired",1,NA,"Male",87,0
"88","1140044303254010002","1400443032540100",2007,"Retired",0,NA,"Female",86,0
"89","1140044306705010002","1400443067050100",2007,"Retired",0,NA,"Female",84,0
"90","1140044308846010001","1400443088460100",2007,"Employed",1,"48","Male",33,23248
"91","1140044308846010002","1400443088460100",2007,"Employed",0,"52","Female",28,15894
"92","1140044309437010001","1400443094370100",2007,"Retired",1,NA,"Male",70,0
"93","1140044310142010001","1400443101420100",2007,"Inactive",1,NA,"Female",55,0
"94","1140044310142010002","1400443101420100",2007,"Retired",0,NA,"Male",59,0
"95","1140044311864010001","1400443118640100",2007,"Employed",1,"62","Male",31,24867
"96","1140044311864010002","1400443118640100",2007,"Employed",0,"52","Female",27,13598
"97","1140044311864010003","1400443118640100",2007,"Inactive",0,NA,"Female",0,NA
"98","1140049300109010001","1400493001090100",2007,"Employed",1,"52","Female",24,18620
"99","1140049300109010002","1400493001090100",2007,"Employed",0,"63","Male",26,20647
"100","1140049301218010001","1400493012180100",2007,"Employed",1,"33","Male",38,21458
"101","1140049301218010002","1400493012180100",2007,"Employed",0,"42","Female",31,14840
"102","1140049301218010003","1400493012180100",2007,"Inactive",0,NA,"Female",7,NA
"103","1140049301218010004","1400493012180100",2007,"Inactive",0,NA,"Female",6,NA
"104","1140049301218010005","1400493012180100",2007,"Inactive",0,NA,"Female",2,NA
"105","1140049304331010001","1400493043310100",2007,"Retired",1,NA,"Male",60,0
"106","1140049304331010002","1400493043310100",2007,"Retired",0,NA,"Female",55,16071
"107","1140049304331010003","1400493043310100",2007,"Employed",0,"38","Male",27,30326
"108","1140049305177010001","1400493051770100",2007,"Employed",1,"47","Male",34,17872
"109","1140049305177010002","1400493051770100",2007,"Employed",0,"65","Female",31,15651
"110","1140049307569010001","1400493075690100",2007,"Employed",1,"21","Male",24,0
"111","1140049307569010002","1400493075690100",2007,"Employed",0,"55","Female",22,10176
"112","1140049310196010001","1400493101960100",2007,"Employed",1,"54","Female",45,20094
"113","1140049600100010001","1400496001000100",2007,"Inactive",1,NA,"Female",46,0
"114","1140049601262010001","1400496012620100",2007,"Employed",1,"46","Male",37,48160
"115","1140049601262010002","1400496012620100",2007,"Inactive",0,NA,"Female",33,0
"116","1140049601262010003","1400496012620100",2007,"Inactive",0,NA,"Female",8,NA
"117","1140049601262010004","1400496012620100",2007,"Inactive",0,NA,"Female",7,NA
"118","1140049601262010005","1400496012620100",2007,"Inactive",0,NA,"Male",1,NA
"119","1140049604058010001","1400496040580100",2007,"Employed",1,"62","Male",44,30097
"120","1140049604058010002","1400496040580100",2007,"Employed",0,"47","Male",19,7524
"121","1140049604058010003","1400496040580100",2007,"Inactive",0,NA,"Male",16,0
"122","1140049606663010001","1400496066630100",2007,"Employed",1,"65","Male",47,17523
"123","1140049606663010002","1400496066630100",2007,"Employed",0,"68","Female",44,18603
"124","1140049606663010003","1400496066630100",2007,"Inactive",0,NA,"Female",19,0
"125","1140049606663010004","1400496066630100",2007,"Inactive",0,NA,"Female",17,0
"126","1140049606663010005","1400496066630100",2007,"Inactive",0,NA,"Male",13,NA
"127","1140049606663010006","1400496066630100",2007,"Inactive",0,NA,"Female",4,NA
"128","1140049609203010001","1400496092030100",2007,"Employed",1,NA,"Male",48,0
"129","1140049609203010002","1400496092030100",2007,"Employed",0,"31","Female",46,0
"130","1140049609203010003","1400496092030100",2007,"Inactive",0,NA,"Female",16,0
"131","1140049609203010004","1400496092030100",2007,"Inactive",0,NA,"Male",13,NA
"132","1140049610142010001","1400496101420100",2007,"Retired",1,NA,"Male",70,0
"133","1140049610142010002","1400496101420100",2007,"Retired",0,NA,"Female",61,0
"134","1140049612667010001","1400496126670100",2007,"Employed",1,"55","Male",37,29598
"135","1140049612667010002","1400496126670100",2007,"Employed",0,"56","Female",35,21303
"136","1140049612667010003","1400496126670100",2007,"Inactive",0,NA,"Male",17,0
"137","1140049612667010004","1400496126670100",2007,"Inactive",0,NA,"Male",15,NA
"138","1140049612667010005","1400496126670100",2007,"Inactive",0,NA,"Male",12,NA
"139","1140052808644010001","1400528086440100",2007,"Retired",1,NA,"Female",61,828
"140","1140052808644010002","1400528086440100",2007,"Retired",0,NA,"Male",66,380
"141","1140059706492010001","1400597064920100",2007,"Retired",1,NA,"Female",80,0
"142","1140059708411010001","1400597084110100",2007,"Retired",1,NA,"Male",92,0
"143","1140059709203010001","1400597092030100",2007,"Retired",1,NA,"Female",79,0
"144","1140059710196010001","1400597101960100",2007,"Employed",1,"67","Male",27,6311
"145","1140059710196010002","1400597101960100",2007,"Employed",0,"52","Female",31,11421
"146","1140059710196010003","1400597101960100",2007,"Inactive",0,NA,"Male",5,NA
"147","1140061200100010001","1400612001000100",2007,"Employed",1,"55","Male",51,23973
"148","1140061200100010002","1400612001000100",2007,"Employed",0,"54","Female",50,21318
"149","1140061200100010003","1400612001000102",2007,"Unemployed",0,NA,"Male",24,6367
"150","1140061204058010001","1400612040580100",2007,"Employed",1,"47","Male",28,28513
"151","1140061205822010001","1400612058220100",2007,"Retired",1,NA,"Male",60,0
"152","1140061205822010002","1400612058220100",2007,"Unemployed",0,NA,"Female",50,0
"153","1140061205822010003","1400612058220101",2007,"Employed",0,"68","Male",19,10613
"154","1140061206786010001","1400612067860100",2007,"Employed",1,"47","Male",31,0
"155","1140061212200010001","1400612122000100",2007,"Employed",1,"67","Female",53,19851
"156","1140061212200010002","1400612122000100",2007,"Employed",0,"11","Male",55,0
"157","1140061212268010001","1400612122680100",2007,"Employed",1,"21","Male",40,7668
"158","1140070701293010001","1400707012930100",2007,"Retired",1,NA,"Male",91,0
"159","1140070701293010002","1400707012930100",2007,"Retired",0,NA,"Female",86,0
"160","1140070701575010001","1400707015750100",2007,"Employed",1,"47","Male",50,30785
"161","1140070701575010002","1400707015750100",2007,"Employed",0,"52","Female",50,32459
"162","1140070701575010003","1400707015750100",2007,"Employed",0,"54","Female",20,1604
"163","1140070708245010001","1400707082450100",2007,"Employed",1,"47","Male",51,35987
"164","1140070708245010002","1400707082450100",2007,"Employed",0,"37","Female",48,39534
"165","1140070708245010003","1400707082450100",2007,"Inactive",0,NA,"Male",25,0
"166","1140070710299010003","1400707102990101",2007,"Employed",0,"38","Male",25,34882
"167","1140070711064010001","1400707110640100",2007,"Employed",1,"68","Male",27,16222
"168","1140074204331010001","1400742043310100",2007,"Retired",1,NA,"Male",72,0
"169","1140074204331010002","1400742043310100",2007,"Retired",0,NA,"Female",70,0
"170","1140074208644010001","1400742086440100",2007,"Retired",1,NA,"Male",78,0
"171","1140074208644010002","1400742086440100",2007,"Retired",0,NA,"Female",73,0
"172","1140074209538010001","1400742095380100",2007,"Retired",1,NA,"Male",61,0
"173","1140074209538010002","1400742095380100",2007,"Inactive",0,NA,"Female",57,0
"174","1140074211575010001","1400742115750100",2007,"Unemployed",1,NA,"Female",40,15492
"175","1140074211575010002","1400742115750100",2007,"Inactive",0,NA,"Female",18,0
"176","1140074211575010003","1400742115750100",2007,"Inactive",0,NA,"Male",16,0
"177","1140074211575010004","1400742115750100",2007,"Inactive",0,NA,"Male",14,NA
"178","1140077204331010001","1400772043310100",2007,"Employed",1,"67","Male",25,21713
"179","1140077204331010002","1400772043310100",2007,"Employed",0,"55","Female",24,1576
"180","1140077205177010001","1400772051770100",2007,"Employed",1,"37","Male",50,56550
"181","1140077205177010002","1400772051770100",2007,"Employed",0,"52","Female",45,20014
"182","1140077205177010004","1400772051770100",2007,"Inactive",0,NA,"Female",18,1819
"183","1140077208422010001","1400772084220100",2007,"Employed",1,"42","Female",33,27952
"184","1140077208422010002","1400772084220100",2007,"Employed",0,"69","Male",32,8779
"185","1140077208422010003","1400772084220100",2007,"Inactive",0,NA,"Female",0,NA
"186","1140077212266010001","1400772122660100",2007,"Employed",1,"12","Female",35,2191
"187","1140081701760010001","1400817017600100",2007,"Retired",1,NA,"Female",61,0
