"","idind","idmen","year","empstat","respondent","profession","gender","age","wage"
"1","1180546410906010001","1805464109060100",2011,"Retired",1,NA,"Female",82,0
"2","1180781105822010001","1807811058220100",2011,"Retired",1,NA,"Female",78,0
"3","1180781108123010001","1807811081230100",2011,"Employed",1,"63","Male",41,17860
"4","1180848401606010001","1808484016060100",2011,"Employed",1,"46","Female",30,15400
"5","2180848401606010002","1808484016060100",2011,"Employed",0,"35","Male",32,9450
"6","1180848403937010001","1808484039370100",2011,"Employed",1,"42","Female",28,23890
"7","2180848403937010003","1808484039370100",2011,"Employed",0,"48","Male",29,96300
"8","1181006903322010001","1810069033220100",2011,"Employed",1,"46","Male",28,34290
"9","2181006903322010002","1810069033220100",2011,"Employed",0,"43","Female",28,0
"10","1181006905165010001","1810069051650100",2011,"Employed",1,"38","Male",49,49640
"11","1181006905165010002","1810069051650100",2011,"Employed",0,"31","Female",42,8360
"12","1181006905165010003","1810069051650100",2011,"Inactive",0,NA,"Male",0,NA
"13","1180138605514010001","1801386055140100",2011,"Retired",1,NA,"Male",75,0
"14","1180138605514010002","1801386055140100",2011,"Retired",0,NA,"Female",71,3790
"15","1180138607873010001","1801386078730100",2011,"Employed",1,"45","Female",50,37700
"16","1180138605165010001","1801386051650100",2011,"Retired",1,NA,"Female",77,0
"17","1180783911064010001","1807839110640100",2011,"Employed",1,"38","Male",42,34260
"18","1180975210299010001","1809752102990100",2011,"Employed",1,"55","Male",36,27960
"19","2180975210299010002","1809752102990100",2011,"Employed",0,"37","Female",30,24700
"20","1180975212398010001","1809752123980100",2011,"Retired",1,NA,"Female",77,0
"21","1180975211874010001","1809752118740100",2011,"Employed",1,"37","Male",53,58610
"22","1180397405926010002","1803974059260100",2011,"Retired",0,NA,"Female",75,0
"23","1180178709113010001","1801787091130100",2011,"Employed",1,"46","Male",49,37970
"24","1180178709113010002","1801787091130100",2011,"Inactive",0,NA,"Female",18,0
"25","1180798001575010001","1807980015750100",2011,"Retired",1,NA,"Female",80,0
