"","idind","idmen","year","empstat","respondent","profession","gender","age","wage"
"1","1130001001262010001","1300010012620100",2006,"Retired",1,"","Male",66,0
"2","1130001006705010002","1300010067050100",2006,"Employed",0,"46","Female",56,70228
"3","1130001006705010003","1300010067050100",2006,"Employed",0,"46","Male",28,16347
"4","1130001011864010001","1300010118640100",2006,"Employed",1,"63","Male",38,0
"5","1130001011864010002","1300010118640100",2006,"Employed",0,"52","Female",31,9357
"6","1130001011864010003","1300010118640100",2006,"Inactive",0,"","Male",4,NA
"7","1130002000124010001","1300020001240100",2006,"Employed",1,"21","Male",37,0
"8","1130002000124010002","1300020001240100",2006,"Inactive",0,"","Female",31,0
"9","1130002000124010003","1300020001240100",2006,"Inactive",0,"","Female",10,NA
"10","1130002000124010004","1300020001240100",2006,"Inactive",0,"","Female",8,NA
"11","1130002000124010005","1300020001240100",2006,"Inactive",0,"","Female",5,NA
"12","1130002000124010006","1300020001240100",2006,"Inactive",0,"","Male",3,NA
"13","1130002001707010001","1300020017070100",2006,"Employed",1,"62","Male",36,21990
"14","1130002001707010002","1300020017070100",2006,"Employed",0,"56","Female",37,6573
"15","1130002001707010003","1300020017070100",2006,"Inactive",0,"","Male",11,NA
"16","1130002001707010004","1300020017070100",2006,"Inactive",0,"","Female",7,NA
"17","1130002003471010001","1300020034710100",2006,"Inactive",1,"","Female",82,0
"18","1130002005926010001","1300020059260100",2006,"Employed",1,"43","Female",24,1757
"19","1130002006705010001","1300020067050100",2006,"Employed",1,"11","Male",47,7750
"20","1130002006705010002","1300020067050100",2006,"Employed",0,"54","Female",44,4496
"21","1130002006705010003","1300020067050100",2006,"Inactive",0,"","Female",20,0
"22","1130002006705010004","1300020067050100",2006,"Inactive",0,"","Male",17,0
"23","1130014903254010001","1300149032540100",2006,"Retired",1,"","Female",74,0
"24","1130014904412010001","1300149044120100",2006,"Employed",1,"62","Male",26,25938
"25","1130014904412010002","1300149044120100",2006,"Employed",0,"43","Female",23,11501
"26","1130014904412010003","1300149044120100",2006,"Inactive",0,"","Male",0,NA
"27","1130014906315010001","1300149063150100",2006,"Employed",1,"65","Male",42,21354
"28","1130014906315010002","1300149063150100",2006,"Employed",0,"56","Female",39,15255
"29","1130014906315010003","1300149063150100",2006,"Inactive",0,"56","Female",22,14642
"30","1130014906315010004","1300149063150100",2006,"Inactive",0,"","Female",19,0
"31","1130014906315010005","1300149063150100",2006,"Inactive",0,"","Male",14,NA
"32","1130014906315010006","1300149063150100",2006,"Inactive",0,"","Male",10,NA
"33","1130014907323010001","1300149073230100",2006,"Retired",1,"","Male",75,0
"34","1130014907323010002","1300149073230100",2006,"Retired",0,"","Female",76,0
"35","1130014907351010001","1300149073510100",2006,"Employed",1,"55","Female",32,20369
"36","1130014907351010002","1300149073510100",2006,"Employed",0,"65","Male",37,22341
"37","1130014907351010003","1300149073510100",2006,"Inactive",0,"","Male",7,NA
"38","1130014910142010001","1300149101420100",2006,"Employed",1,"45","Male",54,38532
"39","1130014910142010002","1300149101420100",2006,"Employed",0,"54","Female",50,35192
"40","1130014910142010004","1300149101420100",2006,"Inactive",0,"","Male",19,0
"41","1130017701167010001","1300177011670100",2006,"Employed",1,"63","Male",54,18028
"42","1130017701167010002","1300177011670100",2006,"Employed",0,"52","Female",51,15866
"43","1130017701167010003","1300177011670100",2006,"Inactive",0,"","Female",20,0
"44","1130017704058010001","1300177040580100",2006,"Retired",1,"","Male",62,0
"45","1130017704058010002","1300177040580100",2006,"Inactive",0,"","Female",55,0
"46","1130017704058010003","1300177040580100",2006,"Employed",0,"67","Male",28,1102
"47","1130017704058010004","1300177040580100",2006,"Inactive",0,"","Male",6,NA
"48","1130017705177010001","1300177051770100",2006,"Retired",1,"","Female",68,0
"49","1130017706705010001","1300177067050100",2006,"Employed",1,"65","Female",58,17568
"50","1130017706705010002","1300177067050100",2006,"Retired",0,"","Male",60,0
"51","1130017711845010001","1300177118450100",2006,"Retired",1,"","Male",62,0
"52","1130017711845010002","1300177118450100",2006,"Inactive",0,"","Female",56,0
"53","1130017712404010001","1300177124040100",2006,"Retired",1,"","Male",76,0
"54","1130017712404010002","1300177124040100",2006,"Retired",0,"","Female",77,0
"55","1130033902721010001","1300339027210100",2006,"Employed",1,"68","Male",58,17275
"56","1130033902721010002","1300339027210100",2006,"Employed",0,"56","Female",59,2703
"57","1130033910196010001","1300339101960100",2006,"Retired",1,"","Female",63,0
"58","1130033910196010002","1300339101960100",2006,"Employed",0,"38","Male",49,46146
"59","1130033910658010001","1300339106580100",2006,"Employed",1,"37","Male",57,44212
"60","1130033910658010002","1300339106580100",2006,"Employed",0,"54","Female",50,9703
"61","1130033910658010003","1300339106580100",2006,"Inactive",0,"","Female",18,0
"62","1130033911845010001","1300339118450100",2006,"Employed",1,"47","Male",29,21194
"63","1130044301293010001","1300443012930100",2006,"Employed",1,"52","Female",32,344
"64","1130044301293010002","1300443012930100",2006,"Inactive",0,"","Male",6,NA
"65","1130044301293010003","1300443012930100",2006,"Inactive",0,"","Male",4,NA
"66","1130044302385010001","1300443023850100",2006,"Retired",1,"","Male",80,0
"67","1130044302385010002","1300443023850100",2006,"Retired",0,"","Female",76,0
"68","1130044304412010001","1300443044120100",2006,"Employed",1,"62","Male",44,26839
"69","1130044304412010002","1300443044120100",2006,"Employed",0,"55","Female",37,17186
"70","1130044304412010003","1300443044120100",2006,"Inactive",0,"","Male",14,NA
"71","1130044304412010004","1300443044120100",2006,"Inactive",0,"","Male",11,NA
"72","1130044308245010001","1300443082450100",2006,"Employed",1,"37","Male",39,28700
"73","1130044308245010002","1300443082450100",2006,"Employed",0,"56","Female",37,5448
"74","1130044308245010003","1300443082450100",2006,"Inactive",0,"","Male",11,NA
"75","1130044308245010004","1300443082450100",2006,"Inactive",0,"","Female",7,NA
"76","1130044312398010001","1300443123980100",2006,"Retired",1,"","Male",76,0
"77","1130044312398010002","1300443123980100",2006,"Retired",0,"","Female",66,0
"78","1130049301707010001","1300493017070100",2006,"Employed",1,"65","Male",55,15774
"79","1130049304095010001","1300493040950100",2006,"Retired",1,"","Male",81,0
"80","1130049304095010002","1300493040950100",2006,"Retired",0,"","Female",77,0
"81","1130049306492010001","1300493064920100",2006,"Retired",1,"","Female",70,0
"82","1130049308846010001","1300493088460100",2006,"Employed",1,"11","Female",47,9014
"83","1130049308846010002","1300493088460100",2006,"Employed",0,"11","Male",53,9211
"84","1130049308846010003","1300493088460100",2006,"Employed",0,"11","Male",27,10179
"85","1130049309437010001","1300493094370100",2006,"Employed",1,"63","Male",42,34035
"86","1130049309437010002","1300493094370100",2006,"Employed",0,"55","Female",49,16756
"87","1130049309437010003","1300493094370100",2006,"Unemployed",0,"","Female",19,1149
"88","1130049311864010001","1300493118640100",2006,"Retired",1,"","Male",66,0
"89","1130049311864010002","1300493118640100",2006,"Employed",0,"56","Female",59,962
"90","1130049312114010001","1300493121140100",2006,"Employed",1,"56","Female",40,6411
"91","1130049312114010002","1300493121140100",2006,"Employed",0,"37","Male",42,35144
"92","1130049312114010003","1300493121140100",2006,"Inactive",0,"","Female",16,0
"93","1130049312114010004","1300493121140100",2006,"Inactive",0,"","Male",14,NA
"94","1130049601293010001","1300496012930100",2006,"Employed",1,"64","Male",38,29063
"95","1130049601293010002","1300496012930100",2006,"Employed",0,"52","Female",36,9064
"96","1130049601293010003","1300496012930100",2006,"Inactive",0,"","Male",16,0
"97","1130049601293010004","1300496012930100",2006,"Inactive",0,"","Female",13,NA
"98","1130049601293010005","1300496012930100",2006,"Inactive",0,"","Male",7,NA
"99","1130049601575010001","1300496015750100",2006,"Retired",1,"","Male",76,0
"100","1130049601575010002","1300496015750100",2006,"Retired",0,"","Female",71,0
"101","1130049602385010001","1300496023850100",2006,"Inactive",1,"54","Female",29,1593
"102","1130049602385010002","1300496023850100",2006,"Inactive",0,"","Male",13,NA
"103","1130049602385010003","1300496023850100",2006,"Inactive",0,"","Male",2,NA
"104","1130049603322010001","1300496033220100",2006,"Employed",1,"52","Female",29,22645
"105","1130049605102010001","1300496051020100",2006,"Employed",1,"54","Female",45,19860
"106","1130049605102010002","1300496051020100",2006,"Inactive",0,"","Female",11,NA
"107","1130049605926010001","1300496059260100",2006,"Inactive",1,"","Male",61,0
"108","1130049610299010001","1300496102990100",2006,"Employed",1,"48","Male",57,37760
"109","1130049610299010002","1300496102990100",2006,"Employed",0,"67","Female",38,18028
"110","1130049610299010003","1300496102990100",2006,"Inactive",0,"","Male",15,NA
"111","1130049611064010001","1300496110640100",2006,"Employed",1,"65","Male",36,26309
"112","1130049611064010002","1300496110640100",2006,"Inactive",0,"","Female",36,0
"113","1130049611064010003","1300496110640100",2006,"Inactive",0,"","Male",6,NA
"114","1130049611064010004","1300496110640100",2006,"Inactive",0,"","Male",5,NA
"115","1130049611064010005","1300496110640100",2006,"Inactive",0,"","Male",2,NA
"116","1130052804513010001","1300528045130100",2006,"Inactive",1,"","Male",59,0
"117","1130052804513010002","1300528045130100",2006,"Employed",0,"43","Female",60,0
"118","1130052805102010001","1300528051020100",2006,"Unemployed",1,"","Male",33,0
"119","1130052805102010002","1300528051020100",2006,"Employed",0,"68","Female",26,3004
"120","1130052805102010003","1300528051020100",2006,"Inactive",0,"","Female",1,NA
"121","1130052808750010001","1300528087500100",2006,"Employed",1,"22","Male",30,0
"122","1130052810196010001","1300528101960100",2006,"Employed",1,"43","Female",40,26008
"123","1130052810196010002","1300528101960100",2006,"Inactive",0,"","Male",8,NA
"124","1130059703169010001","1300597031690100",2006,"Retired",1,"","Male",59,23899
"125","1130059703169010002","1300597031690100",2006,"Employed",0,"54","Female",57,9377
"126","1130059703959010001","1300597039590100",2006,"Employed",1,"55","Male",50,45422
"127","1130059703959010002","1300597039590100",2006,"Inactive",0,"","Female",48,0
"128","1130059703959010003","1300597039590100",2006,"Inactive",0,"","Male",19,0
"129","1130059703959020001","1300597039590100",2006,"Unemployed",1,"","Female",26,28407
"130","1130061204331010001","1300612043310100",2006,"Employed",1,"55","Male",50,16133
"131","1130061204331010002","1300612043310100",2006,"Inactive",0,"","Male",9,NA
"132","1130061210142010001","1300612101420100",2006,"Employed",1,"54","Male",28,18072
"133","1130061212398010001","1300612123980100",2006,"Employed",1,"63","Male",51,22294
"134","1130061212398010002","1300612123980100",2006,"Retired",0,"56","Female",51,8325
"135","1130061212398010003","1300612123980100",2006,"Inactive",0,"","Male",17,0
"136","1130070703937010001","1300707039370100",2006,"Retired",1,"","Male",60,42048
"137","1130070703937010002","1300707039370100",2006,"Unemployed",0,"","Female",57,0
"138","1130070708203010001","1300707082030100",2006,"Employed",1,"62","Male",41,17571
"139","1130070708203010002","1300707082030100",2006,"Employed",0,"47","Female",33,18309
