"","idmen","year","datent","myear","mstatus","move","location"
"1","1300010012620100",2006,1987,1987,"Single",NA,"Paris"
"2","1300010067050100",2006,1984,1984,"Other",NA,"Paris"
"3","1300010118640100",2006,2000,2000,"Couple, with Kids",NA,"Paris"
"4","1300020001240100",2006,2005,2005,"Couple, with Kids",NA,"Rural"
"5","1300020017070100",2006,1998,1998,"Couple, with Kids",NA,"Rural"
"6","1300020034710100",2006,1954,1954,"Single",NA,"Rural"
"7","1300020059260100",2006,2005,2005,"Couple, No kids",NA,"Rural"
"8","1300020067050100",2006,1997,1997,"Couple, with Kids",NA,"Rural"
"9","1300149032540100",2006,2006,2006,"Single",NA,"Urban 20000 to 49999"
"10","1300149044120100",2006,2004,2004,"Couple, with Kids",NA,"Rural"
"11","1300149063150100",2006,2004,2004,"Couple, with Kids",NA,"Rural"
"12","1300149073230100",2006,1995,1972,"Couple, No kids",NA,"Rural"
"13","1300149073510100",2006,1996,1996,"Couple, with Kids",NA,"Urban 2000 to 4999"
"14","1300149101420100",2006,1982,1982,"Other",NA,"Rural"
"15","1300177011670100",2006,1994,1994,"Couple, with Kids",NA,"Urban 2000 to 4999"
"16","1300177040580100",2006,1987,1987,"Other",NA,"Urban 10000 to 19999"
"17","1300177051770100",2006,1978,1982,"Single",NA,"Urban 100000 to 199999"
"18","1300177067050100",2006,1995,1993,"Couple, No kids",NA,"Urban 10000 to 19999"
"19","1300177118450100",2006,2002,2002,"Couple, No kids",NA,"Urban 10000 to 19999"
"20","1300177124040100",2006,1984,1984,"Couple, No kids",NA,"Urban 100000 to 199999"
"21","1300339027210100",2006,1992,1992,"Couple, No kids",NA,"Urban 200000 to 1999999"
"22","1300339101960100",2006,2001,2001,"Couple, No kids",NA,"Urban 10000 to 19999"
"23","1300339106580100",2006,2004,2004,"Couple, with Kids",NA,"Rural"
"24","1300339118450100",2006,2004,2004,"Single",NA,"Urban 10000 to 19999"
"25","1300443012930100",2006,2002,2002,"Other",NA,"Urban 50000 to 99999"
"26","1300443023850100",2006,1988,1988,"Couple, No kids",NA,"Urban 50000 to 99999"
"27","1300443044120100",2006,1991,1991,"Couple, with Kids",NA,"Rural"
"28","1300443082450100",2006,2002,2002,"Couple, with Kids",NA,"Urban 50000 to 99999"
"29","1300443123980100",2006,1973,1971,"Couple, No kids",NA,"Rural"
"30","1300493017070100",2006,1990,1990,"Single",NA,"Urban 50000 to 99999"
"31","1300493040950100",2006,1925,1982,"Couple, No kids",NA,"Rural"
"32","1300493064920100",2006,1986,1974,"Single",NA,"Urban 2000 to 4999"
"33","1300493088460100",2006,1992,1992,"Other",NA,"Rural"
"34","1300493094370100",2006,1988,1988,"Couple, with Kids",NA,"Urban 50000 to 99999"
"35","1300493118640100",2006,1978,1978,"Couple, No kids",NA,"Rural"
"36","1300493121140100",2006,2004,2004,"Couple, with Kids",NA,"Urban 50000 to 99999"
"37","1300496012930100",2006,2003,2003,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"38","1300496015750100",2006,1957,1962,"Couple, No kids",NA,"Urban 2000 to 4999"
"39","1300496023850100",2006,2003,2003,"Single Parent",NA,"Urban 200000 to 1999999"
"40","1300496033220100",2006,2005,2005,"Single",NA,"Urban 5000 to 9999"
"41","1300496051020100",2006,1996,1996,"Single Parent",NA,"Urban 200000 to 1999999"
"42","1300496059260100",2006,2000,2002,"Single",NA,"Urban 200000 to 1999999"
"43","1300496102990100",2006,1948,1996,"Couple, with Kids",NA,"Urban 2000 to 4999"
"44","1300496110640100",2006,1996,1996,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"45","1300528045130100",2006,1984,1984,"Other",NA,"Urban 200000 to 1999999"
"46","1300528051020100",2006,2003,2004,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"47","1300528087500100",2006,2006,2006,"Couple, No kids",NA,"Urban 200000 to 1999999"
"48","1300528101960100",2006,1999,1999,"Single Parent",NA,"Urban 200000 to 1999999"
"49","1300597031690100",2006,1972,1972,"Couple, No kids",NA,"Urban 200000 to 1999999"
"50","1300597039590100",2006,1977,1977,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"51","1300612043310100",2006,1996,1996,"Single Parent",NA,"Urban 100000 to 199999"
"52","1300612101420100",2006,2004,2004,"Single",NA,"Urban 100000 to 199999"
"53","1300612123980100",2006,1979,1978,"Couple, with Kids",NA,"Rural"
"54","1300707039370100",2006,1992,1992,"Couple, No kids",NA,"Rural"
"55","1300707082030100",2006,2005,2005,"Couple, with Kids",NA,"Paris"
"56","1300707092030100",2006,1985,1985,"Couple, No kids",NA,"Paris"
"57","1300707095500100",2006,1992,1982,"Other",NA,"Paris"
"58","1300742023850100",2006,2003,2003,"Couple, with Kids",NA,"Urban 5000 to 9999"
"59","1300742026420100",2006,1990,1990,"Single",NA,"Urban 10000 to 19999"
"60","1300742027210100",2006,2002,2002,"Couple, with Kids",NA,"Urban 5000 to 9999"
"61","1300742051650100",2006,2002,2002,"Couple, with Kids",NA,"Urban 20000 to 49999"
"62","1300742073620100",2006,1966,1966,"Single",NA,"Urban 10000 to 19999"
"63","1300742099390100",2006,1967,1967,"Couple, No kids",NA,"Urban 5000 to 9999"
"64","1300772011670100",2006,1990,1997,"Couple, with Kids",NA,"Paris"
"65","1300772012180100",2006,1997,1997,"Single",NA,"Rural"
"66","1300772017600100",2006,1961,1999,"Single",NA,"Rural"
"67","1300772082450100",2006,2004,2004,"Single",NA,"Urban 50000 to 99999"
"68","1300772084110100",2006,2002,2002,"Couple, No kids",NA,"Urban 100000 to 199999"
"69","1300772087500100",2006,1997,1997,"Single",NA,"Urban 100000 to 199999"
"70","1300772101420100",2006,2003,2003,"Couple, with Kids",NA,"Rural"
"71","1300772118450100",2006,2003,2003,"Couple, with Kids",NA,"Urban 50000 to 99999"
"72","1300772124040100",2006,1990,1990,"Couple, with Kids",NA,"Urban 100000 to 199999"
"73","1300817015750100",2006,1988,1988,"Single",NA,"Rural"
"74","1300817057590100",2006,1998,1970,"Couple, No kids",NA,"Rural"
"75","1300817104200100",2006,2004,2004,"Couple, with Kids",NA,"Urban 5000 to 9999"
"76","1300817108800100",2006,1974,1974,"Couple, with Kids",NA,"Rural"
"77","1300820081230100",2006,2000,2000,"Couple, with Kids",NA,"Paris"
"78","1300820095380100",2006,1995,1995,"Single Parent",NA,"Urban 50000 to 99999"
"79","1300820106930100",2006,2006,2006,"Single",NA,"Paris"
"80","1300820109060100",2006,1997,1996,"Couple, No kids",NA,"Urban 20000 to 49999"
"81","1300820109060200",2006,2006,2006,"Single",NA,"Urban 5000 to 9999"
"82","1300820125520100",2006,2003,2003,"Single Parent",NA,"Urban 50000 to 99999"
"83","1300896001240101",2006,2005,2005,"Couple, No kids",NA,"Urban 200000 to 1999999"
"84","1300896017390100",2006,1994,1994,"Single",NA,"Paris"
"85","1300896067050100",2006,1997,1997,"Couple, with Kids",NA,"Paris"
"86","1300896073230100",2006,1981,1981,"Single",NA,"Paris"
"87","1300896073620100",2006,1969,1968,"Couple, No kids",NA,"Paris"
"88","1300896094370100",2006,2003,2003,"Couple, with Kids",NA,"Paris"
"89","1300898015750100",2006,2000,2000,"Other",NA,"Rural"
"90","1300898015750101",2006,2005,2005,"Single",NA,"Rural"
"91","1300898033220100",2006,2002,2002,"Couple, with Kids",NA,"Rural"
"92","1300898039590100",2006,1996,1996,"Single",NA,"Urban 200000 to 1999999"
"93","1300898044120100",2006,1988,1988,"Couple, No kids",NA,"Urban 200000 to 1999999"
"94","1300898095500100",2006,1974,1972,"Couple, No kids",NA,"Rural"
"95","1300898101420100",2006,1996,1994,"Couple, No kids",NA,"Rural"
"96","1300898123980100",2006,1992,1992,"Couple, with Kids",NA,"Rural"
"97","1300913001240100",2006,1970,NA,"Single",NA,"Rural"
"98","1300913011670100",2006,1995,1995,"Couple, with Kids",NA,"Rural"
"99","1300913020920100",2006,1997,1997,"Couple, No kids",NA,"Rural"
"100","1300913051650100",2006,1995,2005,"Single Parent",NA,"Rural"
"101","1300913059550100",2006,1990,1977,"Couple, No kids",NA,"Rural"
"102","1300913073510100",2006,1982,1982,"Couple, with Kids",NA,"Rural"
"103","1300913101420100",2006,2002,2002,"Couple, with Kids",NA,"Rural"
"104","1300913106580100",2006,2003,2003,"Couple, with Kids",NA,"Rural"
"105","1301013012180100",2006,1990,1990,"Single Parent",NA,"Urban 50000 to 99999"
"106","1301013013160100",2006,1986,1985,"Couple, No kids",NA,"Urban 5000 to 9999"
"107","1301013014970100",2006,1982,1982,"Couple, No kids",NA,"Urban 5000 to 9999"
"108","1301013025180100",2006,1983,1983,"Single",NA,"Urban 50000 to 99999"
"109","1301013039590100",2006,1983,1978,"Single",NA,"Urban 20000 to 49999"
"110","1301013057410100",2006,1997,1997,"Couple, with Kids",NA,"Urban 5000 to 9999"
"111","1301013122680100",2006,1960,NA,"Single",NA,"Rural"
"112","1301042001000100",2006,1990,1990,"Single",NA,"Urban 2000 to 4999"
"113","1301042010270100",2006,1955,1955,"Couple, with Kids",NA,"Rural"
"114","1301042023850100",2006,1999,2004,"Couple, with Kids",NA,"Rural"
"115","1301042057410100",2006,2003,2003,"Couple, with Kids",NA,"Rural"
"116","1301042103840100",2006,2004,2004,"Single",NA,"Rural"
"117","1301181023470100",2006,1997,1997,"Couple, with Kids",NA,"Urban 2000 to 4999"
"118","1301181055140100",2006,1962,1962,"Couple, No kids",NA,"Urban 50000 to 99999"
"119","1301386057590100",2006,1991,1991,"Couple, with Kids",NA,"Paris"
"120","1301386059550100",2006,2002,NA,"Couple, No kids",NA,"Paris"
"121","1301386103840100",2006,1985,1985,"Couple, with Kids",NA,"Paris"
"122","1301483011670100",2006,1998,1998,"Couple, No kids",NA,"Urban 20000 to 49999"
"123","1301483042000100",2006,2000,2000,"Single",NA,"Urban 200000 to 1999999"
"124","1301483044120100",2006,2001,2001,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"125","1301483045130100",2006,2003,2002,"Single",NA,"Urban 50000 to 99999"
"126","1301483073230100",2006,1989,1989,"Other",NA,"Urban 200000 to 1999999"
"127","1301483101960100",2006,2005,2005,"Single",NA,"Urban 200000 to 1999999"
"128","1301483106580100",2006,1988,1988,"Single",NA,"Urban 200000 to 1999999"
"129","1301483124060100",2006,2004,2004,"Single",NA,"Urban 200000 to 1999999"
"130","1301497059260100",2006,1999,1999,"Couple, No kids",NA,"Urban 50000 to 99999"
"131","1301497059260101",2006,2005,2005,"Single",NA,"Urban 50000 to 99999"
"132","1301497125520100",2006,1994,1994,"Single",NA,"Rural"
"133","1301497126670100",2006,1997,1996,"Couple, with Kids",NA,"Rural"
"134","1301575018040100",2006,1999,1999,"Single",NA,"Urban 10000 to 19999"
"135","1301575052310100",2006,2002,2000,"Couple, with Kids",NA,"Urban 10000 to 19999"
"136","1301575073620100",2006,2005,2005,"Couple, with Kids",NA,"Urban 2000 to 4999"
"137","1301575108800100",2006,1990,1981,"Single",NA,"Rural"
"138","1301575122680100",2006,1981,1981,"Couple, No kids",NA,"Urban 10000 to 19999"
"139","1301580010270100",2006,2003,2003,"Couple, No kids",NA,"Urban 200000 to 1999999"
"140","1301580020540100",2006,1966,1966,"Couple, No kids",NA,"Urban 200000 to 1999999"
"141","1301580039370100",2006,1990,1990,"Couple, with Kids",NA,"Urban 100000 to 199999"
"142","1301580045130100",2006,1995,1995,"Couple, with Kids",NA,"Urban 100000 to 199999"
"143","1301580059550100",2006,1996,1996,"Single",NA,"Urban 200000 to 1999999"
"144","1301580067860100",2006,1988,1987,"Single",NA,"Urban 200000 to 1999999"
"145","1301580084110100",2006,1954,1967,"Single",NA,"Urban 100000 to 199999"
"146","1301580091130100",2006,1999,1999,"Single",NA,"Urban 10000 to 19999"
"147","1301580101960100",2006,2002,2002,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"148","1301580113300100",2006,1989,1989,"Couple, with Kids",NA,"Urban 200000 to 1999999"
"149","1301607040580100",2006,1993,1992,"Couple, No kids",NA,"Rural"
"150","1301607088460100",2006,1993,1993,"Couple, with Kids",NA,"Urban 2000 to 4999"
"151","1301607121140100",2006,1978,1978,"Couple, No kids",NA,"Urban 5000 to 9999"
"152","1301607122000100",2006,1985,1985,"Couple, No kids",NA,"Urban 20000 to 49999"
"153","1301686012180100",2006,1994,1994,"Single",NA,"Paris"
"154","1301686020540100",2006,1988,2003,"Single",NA,"Paris"
"155","1301686059550100",2006,2003,2003,"Couple, with Kids",NA,"Paris"
"156","1301686067860100",2006,2003,2003,"Couple, with Kids",NA,"Paris"
"157","1301686101960100",2006,1991,1991,"Single",NA,"Paris"
"158","1301728020920100",2006,2005,2005,"Other",NA,"Paris"
"159","1301728027210100",2006,1978,1978,"Couple, with Kids",NA,"Paris"
